Name	geneid	logFC.mesen	logCPM.mesen	LR.mesen	PValue.mesen	FDR.mesen	logFC.diff	logCPM.diff	LR.diff	PValue.diff	FDR.diff	Row.names.y	logFC.immuno	logCPM.immuno	LR.immuno	PValue.immuno	FDR.immuno	logFC.prolif	logCPM.prolif	LR.prolif	PValue.prolif	FDR.prolif
PPA2	27068	-0.189782684	5.534966072	5.936935106	0.01482678	0.037411885	-0.03222627	5.534966072	0.169491009	0.680564561	0.785131814	PPA2|27068	0.255615061	5.534966072	12.04440461	0.000519481	0.002390303	-0.033606106	5.534966072	0.20358124	0.651845569	0.718697891
PPAN-P2RY11	692312	-0.495027529	2.601955504	2.507779036	0.113285487	0.19282744	0.24542762	2.601955504	0.656341668	0.417854451	0.562590578	PPAN-P2RY11|692312	-0.158114473	2.601955504	0.284360747	0.593857169	0.703310483	0.407714382	2.601955504	2.022897451	0.154943243	0.218099067
PPAN	56342	-0.289016719	5.248120527	8.993166597	0.00270991	0.009322287	0.095779765	5.248120527	1.005959032	0.31587288	0.461980411	PPAN|56342	0.051666934	5.248120527	0.31853115	0.57249171	0.684326881	0.14157002	5.248120527	2.433951394	0.118733269	0.173636848
PPAP2A	8611	0.751353871	4.56509286	90.62214496	1.74E-21	8.32E-20	-0.222469817	4.56509286	6.903279511	0.008603778	0.028847404	PPAP2A|8611	-0.104531075	4.56509286	1.696819344	0.192704463	0.301445539	-0.424352979	4.56509286	27.19730352	1.84E-07	1.02E-06
ATP6V1H	51606	-0.195562499	5.781157185	7.660903964	0.005643022	0.016984895	1.77E-05	5.781157185	6.41E-08	0.999798032	0.999863761	ATP6V1H|51606	0.021806844	5.781157185	0.104005903	0.747074346	0.825363338	0.173737919	5.781157185	6.763453806	0.00930435	0.01867253
PPAP2B	8613	0.11305187	6.254591532	0.677806863	0.410342947	0.524329014	-0.43587405	6.254591532	9.131165171	0.002512916	0.010594923	PPAP2B|8613	-0.297067507	6.254591532	4.749908523	0.029299852	0.067860741	0.619889687	6.254591532	22.92318709	1.69E-06	7.78E-06
PPAP2C	8612	-0.09284903	5.351918778	0.310872849	0.577145064	0.678742227	0.669341226	5.351918778	17.16110578	3.43E-05	0.000314493	PPAP2C|8612	0.03435273	5.351918778	0.045953103	0.830261069	0.884015635	-0.610844926	5.351918778	13.60695701	0.000225349	0.000670843
PPAPDC1A	196051	0.370583427	3.042658974	2.717534906	0.099251189	0.173861019	-0.834546409	3.042658974	11.49182738	0.000699029	0.003702516	PPAPDC1A|196051	0.188379781	3.042658974	0.730132209	0.392840338	0.518335261	0.275583201	3.042658974	1.589135053	0.207449754	0.279234927
PPAPDC1B	84513	-0.186325544	4.83928673	3.763243535	0.052390856	0.105335674	0.113748905	4.83928673	1.413307611	0.234508086	0.372179135	PPAPDC1B|84513	-0.089226568	4.83928673	0.92969915	0.334941113	0.459475535	0.161803206	4.83928673	3.167008223	0.075139971	0.117370429
PPAPDC2	403313	-0.288380474	4.098337408	9.434225953	0.00212973	0.007648122	0.016735163	4.098337408	0.032041771	0.857936011	0.910931989	PPAPDC2|403313	0.320653676	4.098337408	13.29470147	0.000266157	0.001355468	-0.049008366	4.098337408	0.301194358	0.583134633	0.658450418
PPAPDC3	84814	0.463620836	0.621282964	8.278889356	0.004010865	0.012888316	-0.268694402	0.621282964	2.47236515	0.115863461	0.220672964	PPAPDC3|84814	-0.5319351	0.621282964	10.31266649	0.001321202	0.005233889	0.337008666	0.621282964	4.610944007	0.03176854	0.055381966
PPARA	5465	0.255375475	4.994009664	8.160095582	0.004282211	0.01358236	0.003906393	4.994009664	0.001802063	0.966139403	0.979922224	PPARA|5465	0.154691168	4.994009664	3.142311218	0.076285636	0.145767755	-0.413973036	4.994009664	21.30072407	3.93E-06	1.69E-05
PPARD	5467	0.169366586	6.119743397	6.017551443	0.014164285	0.036091642	-0.052137186	6.119743397	0.539412826	0.462676172	0.603570014	PPARD|5467	0.062456358	6.119743397	0.858900124	0.354046667	0.478521359	-0.179685757	6.119743397	6.980357308	0.008240915	0.016743797
PPARG	5468	0.769792891	1.929947481	20.44546721	6.14E-06	5.13E-05	-0.299063801	1.929947481	2.649316622	0.103594422	0.203234246	PPARG|5468	0.43984339	1.929947481	6.826009398	0.008983977	0.026026329	-0.91057248	1.929947481	25.32334432	4.85E-07	2.49E-06
PPARGC1A	10891	0.325640124	1.206017779	1.321582313	0.250308272	0.357596679	0.00409224	1.206017779	0.000246781	0.987466337	0.991834791	PPARGC1A|10891	-1.823843158	1.206017779	33.71154539	6.39E-09	1.05E-07	1.494110793	1.206017779	32.46751538	1.21E-08	8.32E-08
ATP7A	538	0.037864241	4.106467058	0.156376858	0.692514402	0.77488261	-0.054890339	4.106467058	0.315551602	0.574293314	0.698891991	ATP7A|538	0.14632452	4.106467058	2.511602371	0.11301097	0.198834475	-0.129298423	4.106467058	1.919743172	0.165884976	0.231147957
PPARGC1B	133522	-0.005480188	3.142792562	0.001867104	0.965534134	0.975020263	0.467741254	3.142792562	14.05002701	0.000178011	0.001211592	PPARGC1B|133522	0.249857069	3.142792562	4.264180827	0.038924012	0.085098027	-0.712118135	3.142792562	31.31532804	2.19E-08	1.43E-07
PPAT	5471	-0.071729292	4.71938583	0.851008678	0.356267144	0.470282523	-0.064427142	4.71938583	0.667201607	0.414028959	0.559331854	PPAT|5471	0.022117172	4.71938583	0.08701192	0.768010816	0.839958339	0.114039261	4.71938583	2.355735242	0.124823021	0.181218534
PPCDC	60490	-0.243529801	3.083327419	6.133486003	0.013264508	0.03413053	0.031240172	3.083327419	0.101389088	0.750168999	0.836318858	PPCDC|60490	0.274383365	3.083327419	8.784772396	0.003037555	0.010621153	-0.062093737	3.083327419	0.437844593	0.508164617	0.587847921
PPCS	79717	-0.110361777	6.186509807	1.646294258	0.199464054	0.30015305	-0.007352508	6.186509807	0.007186898	0.932439813	0.958526452	PPCS|79717	0.259237334	6.186509807	10.06292561	0.001512828	0.005888726	-0.14152305	6.186509807	2.897121253	0.088737899	0.135353546
PPDPF	79144	-0.013604966	9.370855004	0.015882167	0.899712555	0.929046137	0.125747792	9.370855004	1.340892815	0.24687658	0.385731978	PPDPF|79144	-0.039486038	9.370855004	0.141908802	0.706390731	0.793539556	-0.072656788	9.370855004	0.482724448	0.487190838	0.568064397
PPFIA1	8500	0.063969626	6.201346187	0.786196813	0.375252609	0.489356424	0.095305652	6.201346187	1.702214784	0.191998586	0.321306301	PPFIA1|8500	-0.122656484	6.201346187	3.00976532	0.082764273	0.155644717	-0.036618794	6.201346187	0.273111149	0.601252382	0.674154288
PPFIA3	8541	-0.139553324	3.115293085	0.770444418	0.380079603	0.494126222	0.250662145	3.115293085	2.531776671	0.111574525	0.214518665	PPFIA3|8541	-0.036909158	3.115293085	0.058056967	0.809593766	0.870110242	-0.074199663	3.115293085	0.235672509	0.627349279	0.695751521
PPFIA4	8497	-0.105561242	3.22896747	0.380519636	0.537325267	0.641484223	0.220996296	3.22896747	1.685753617	0.194161683	0.324213779	PPFIA4|8497	-0.565093772	3.22896747	11.00539319	0.000908472	0.003799744	0.449658718	3.22896747	7.852121918	0.005076109	0.010943563
PPFIBP1	8496	0.876467542	7.093998328	74.08214993	7.49E-18	2.86E-16	-0.219845583	7.093998328	4.005092316	0.045363013	0.108534469	PPFIBP1|8496	-0.204949387	7.093998328	3.829968526	0.050343878	0.104407781	-0.451672573	7.093998328	18.23510374	1.95E-05	7.24E-05
PPFIBP2	8495	-0.12083532	5.338315066	1.38793997	0.238753298	0.344387935	0.320026574	5.338315066	9.976259165	0.001585715	0.007261258	PPFIBP2|8495	0.091714525	5.338315066	0.871534276	0.350530906	0.475331035	-0.290905779	5.338315066	8.474919765	0.003600763	0.008066981
ATP7B	540	-0.252143322	4.712202449	3.39562877	0.065369436	0.125666606	-0.103606476	4.712202449	0.566932	0.45148064	0.593341123	ATP7B|540	-0.454544322	4.712202449	11.49124917	0.000699246	0.003060988	0.810294119	4.712202449	41.91875063	9.51E-11	9.03E-10
PPHLN1	51535	-0.144735187	5.692959272	7.306212007	0.006871663	0.019964045	-0.139445613	5.692959272	6.586776125	0.010273906	0.033490181	PPHLN1|51535	-0.017652431	5.692959272	0.117407834	0.731863087	0.813288135	0.301833232	5.692959272	35.7917136	2.20E-09	1.69E-08
PPIA	5478	-0.184153997	8.267772643	5.366742012	0.020524279	0.048814154	0.086965602	8.267772643	1.201942838	0.272933713	0.415352905	PPIA|5478	0.165951279	8.267772643	4.825201697	0.028046583	0.065657837	-0.068762884	8.267772643	0.814520272	0.366787197	0.451425718
PPIB	5479	-0.153217607	8.982014771	3.156607373	0.075620184	0.140455952	0.132068739	8.982014771	2.359288619	0.12453897	0.232595065	PPIB|5479	0.138879568	8.982014771	2.85229465	0.091243621	0.168221786	-0.1177307	8.982014771	2.010174755	0.156247319	0.219587646
PPIC	5480	0.351029845	4.945990904	9.993378937	0.001571041	0.005912585	0.054555583	4.945990904	0.226688452	0.633990238	0.749010523	PPIC|5480	0.072941692	4.945990904	0.444141168	0.505130432	0.625176482	-0.478527119	4.945990904	18.11361682	2.08E-05	7.67E-05
PPID	5481	-0.067807698	5.098464786	0.99551761	0.318397551	0.4318737	-0.24012633	5.098464786	11.85742933	0.000574318	0.003150721	PPID|5481	0.213015285	5.098464786	10.77669552	0.00102786	0.004217915	0.094918744	5.098464786	2.131013287	0.144345308	0.205213161
PPIE	10450	-0.302358276	5.604500763	11.27028887	0.000787575	0.003376716	-0.036140721	5.604500763	0.161610184	0.687678366	0.790700174	PPIE|10450	0.127700859	5.604500763	2.249882022	0.13362459	0.226560105	0.210798138	5.604500763	6.233786254	0.012533547	0.024320458
PPIEL	728448	0.052799289	2.422109023	0.10775595	0.742713563	0.814869003	0.170939071	2.422109023	1.112776947	0.291479097	0.436114885	PPIEL|728448	-0.153672216	2.422109023	0.948250485	0.330165021	0.45448107	-0.070066144	2.422109023	0.200646892	0.654199199	0.720848383
PPIF	10105	-0.138264133	7.080124843	2.127535209	0.144673228	0.233132324	0.391163762	7.080124843	17.63208131	2.68E-05	0.000254988	PPIF|10105	0.17908716	7.080124843	3.934911769	0.047293621	0.099357514	-0.431986789	7.080124843	21.57209523	3.41E-06	1.48E-05
PPIG	9360	-0.101267832	6.01145954	2.396796563	0.121583999	0.203669387	-0.017249344	6.01145954	0.068231517	0.793929308	0.865877017	PPIG|9360	0.037095084	6.01145954	0.347669246	0.555435488	0.669719233	0.081422092	6.01145954	1.696864326	0.192698566	0.262405388
PPIH	10465	-0.314682792	5.282520633	10.86447819	0.000980264	0.004030208	-0.196543568	5.282520633	4.174499702	0.041036677	0.100377862	PPIH|10465	0.349983214	5.282520633	15.41106798	8.65E-05	0.000517521	0.161243146	5.282520633	3.234631103	0.072096539	0.113059721
ATP8A1	10396	0.193597418	3.292343937	2.176607428	0.140123042	0.227442657	0.171762784	3.292343937	1.661117367	0.197452527	0.328229939	ATP8A1|10396	0.153600909	3.292343937	1.448059068	0.228839647	0.344493687	-0.518961112	3.292343937	15.4558614	8.45E-05	0.000274514
PPIL1	51645	-0.246776495	5.767660138	7.864147782	0.005042459	0.015477377	-0.221495258	5.767660138	6.16759624	0.013011128	0.04061672	PPIL1|51645	0.175217025	5.767660138	4.428122341	0.035351378	0.07886276	0.293054728	5.767660138	12.63723001	0.00037814	0.001063068
PPIL2	23759	0.145329758	5.698538755	4.050458936	0.044159338	0.091611139	-0.056531987	5.698538755	0.581004826	0.445918731	0.588369826	PPIL2|23759	0.112536675	5.698538755	2.570083278	0.108901999	0.193371916	-0.201334445	5.698538755	8.014445415	0.004640568	0.010101935
PPIL3	53938	-0.209075318	4.396427645	4.761700491	0.029099785	0.065011885	0.03094271	4.396427645	0.104346784	0.746674394	0.833346909	PPIL3|53938	0.132556403	4.396427645	2.118555308	0.145523757	0.242917524	0.045576205	4.396427645	0.250207413	0.616929069	0.687173245
PPIL4	85313	0.070737675	4.97597796	1.227741564	0.2678467	0.377057561	-0.343405528	4.97597796	26.66590951	2.42E-07	5.11E-06	PPIL4|85313	0.019554745	4.97597796	0.09916988	0.752828094	0.829796461	0.253113109	4.97597796	17.16737689	3.42E-05	0.000120801
PPIL5	122769	-0.309167436	3.438783553	10.65829146	0.001095786	0.004427382	-0.153107967	3.438783553	2.587077808	0.107738944	0.209313514	PPIL5|122769	0.349291964	3.438783553	15.59513157	7.85E-05	0.0004772	0.112983438	3.438783553	1.606167683	0.205031346	0.276599577
PPIL6	285755	-0.693191518	3.214611327	26.15796109	3.15E-07	3.53E-06	0.239909841	3.214611327	3.421996925	0.06433315	0.141934137	PPIL6|285755	-0.419313059	3.214611327	10.59130924	0.001136205	0.00459069	0.872594736	3.214611327	52.73704975	3.81E-13	5.17E-12
PPIP5K1	9677	-0.06490558	4.912097984	0.46135102	0.496993248	0.605305147	0.405082628	4.912097984	18.46895981	1.73E-05	0.000177622	PPIP5K1|9677	-0.102799427	4.912097984	1.226442408	0.268100022	0.389358313	-0.237377621	4.912097984	6.497012254	0.010805592	0.021314143
PPIP5K2	23262	0.12186768	5.033554517	2.79641728	0.094475199	0.167227917	-0.121267199	5.033554517	2.610243685	0.106175446	0.206964082	PPIP5K2|23262	-0.028970841	5.033554517	0.16512417	0.684481974	0.777402646	0.02837036	5.033554517	0.160689311	0.688522676	0.750571351
PPL	5493	0.578885534	7.223397381	21.14173433	4.27E-06	3.74E-05	0.172009481	7.223397381	1.735325466	0.187732213	0.315905135	PPL|5493	-0.367356925	7.223397381	8.138522549	0.004333458	0.014277791	-0.383538091	7.223397381	8.932148423	0.002801946	0.006449266
PPM1A	5494	0.008766334	5.907986905	0.024978282	0.87442119	0.912637746	-0.011515785	5.907986905	0.041763215	0.838071794	0.896347334	PPM1A|5494	0.016238642	5.907986905	0.091221569	0.76262989	0.836358293	-0.01348919	5.907986905	0.063272829	0.801395938	0.843714791
ATP8A2	51761	0.236092609	-0.155783738	1.070714689	0.30078407	0.413318783	-0.315199386	-0.155783738	1.716193191	0.190183803	0.319120184	ATP8A2|51761	-1.104933678	-0.155783738	21.07084053	4.43E-06	3.87E-05	1.184040455	-0.155783738	31.1612403	2.37E-08	1.54E-07
PPM1B	5495	-0.069313986	5.513083712	1.362767465	0.243058431	0.34930608	-0.031846334	5.513083712	0.280618424	0.596296166	0.717517583	PPM1B|5495	-0.074163212	5.513083712	1.659463229	0.197675813	0.307814973	0.175323532	5.513083712	9.605427384	0.001940031	0.004644595
PPM1D	8493	-0.089594892	4.17572282	1.344858934	0.2461789	0.352757481	-0.305140804	4.17572282	14.7253079	0.000124366	0.000905192	PPM1D|8493	0.020347735	4.17572282	0.074776679	0.784504826	0.851629731	0.374387961	4.17572282	26.46837938	2.68E-07	1.45E-06
PPM1E	22843	-0.847417769	0.79502489	16.46504548	4.96E-05	0.000317806	0.69213105	0.79502489	12.86722204	0.000334388	0.002018533	PPM1E|22843	-0.498552235	0.79502489	6.382071663	0.01152788	0.031884019	0.653838954	0.79502489	12.53037284	0.00040039	0.00112065
PPM1F	9647	0.576440001	4.605256067	46.79716725	7.87E-12	1.67E-10	-0.10603716	4.605256067	1.421840411	0.233100718	0.370528862	PPM1F|9647	-0.133709438	4.605256067	2.472008355	0.115889761	0.202797083	-0.336693403	4.605256067	15.44970034	8.47E-05	0.000275234
PPM1G	5496	-0.174928216	7.3230362	8.089543165	0.004452138	0.014001639	-0.118342058	7.3230362	3.619641035	0.057101192	0.12977236	PPM1G|5496	-0.02718871	7.3230362	0.211685926	0.64544919	0.745073082	0.320458984	7.3230362	30.74167428	2.95E-08	1.88E-07
PPM1H	57460	-0.374882518	5.178850661	8.246730574	0.004082547	0.013074463	-0.153576765	5.178850661	1.381164799	0.239902839	0.37809801	PPM1H|57460	-0.316466737	5.178850661	6.317521486	0.011955062	0.032820862	0.84492602	5.178850661	50.99877385	9.24E-13	1.19E-11
PPM1J	333926	-0.76016745	3.088093033	25.76907989	3.85E-07	4.23E-06	0.429813946	3.088093033	9.282182841	0.002313935	0.009918169	PPM1J|333926	0.091644787	3.088093033	0.443381224	0.505494981	0.625424128	0.238708717	3.088093033	3.080514382	0.079235463	0.12281739
PPM1K	152926	0.024058	3.327248894	0.047003645	0.828361686	0.878978653	-0.416368165	3.327248894	12.91674081	0.000325656	0.001974446	PPM1K|152926	0.475780012	3.327248894	20.47074008	6.05E-06	5.10E-05	-0.083469846	3.327248894	0.599388637	0.438811384	0.522193442
PPM1L	151742	0.288777901	1.226541868	2.990004973	0.083779911	0.152029108	0.111443632	1.226541868	0.423961915	0.514966717	0.648429244	PPM1L|151742	-0.528201762	1.226541868	9.673279744	0.001869672	0.007035093	0.12798023	1.226541868	0.617990793	0.431794901	0.515901982
PPM1M	132160	0.189901893	4.385266216	5.810399047	0.015931679	0.039658435	-0.070831239	4.385266216	0.760782458	0.383083765	0.529617972	PPM1M|132160	0.380286272	4.385266216	25.21292082	5.13E-07	5.78E-06	-0.499356925	4.385266216	39.8059075	2.80E-10	2.47E-09
ATP8B1	5205	0.093247388	5.687740491	0.642814917	0.42269331	0.536415335	0.477530575	5.687740491	17.14362374	3.47E-05	0.000315689	ATP8B1|5205	0.490186809	5.687740491	19.64473602	9.33E-06	7.43E-05	-1.060964772	5.687740491	77.81732106	1.13E-18	3.06E-17
PPM1N	147699	-0.592454055	1.553251563	7.578659671	0.005906334	0.017655169	-0.476884221	1.553251563	4.82672463	0.028021818	0.074431271	PPM1N|147699	0.658896848	1.553251563	11.47599467	0.000705009	0.003081781	0.410441428	1.553251563	4.384888506	0.036258863	0.062127712
PPME1	51400	-0.144083062	6.377682443	4.052058712	0.044117511	0.091562964	0.091725983	6.377682443	1.641994642	0.200052015	0.331068996	PPME1|51400	-0.234631832	6.377682443	11.3286744	0.000763194	0.003297274	0.286988911	6.377682443	18.07604334	2.12E-05	7.81E-05
PPOX	5498	-0.519793368	4.274223159	39.6983231	2.96E-10	5.20E-09	0.35256296	4.274223159	19.75576973	8.80E-06	0.000101871	PPOX|5498	-0.124095986	4.274223159	2.533109574	0.11148033	0.196881017	0.291326393	4.274223159	14.71573732	0.000124999	0.000392462
PPP1CA	5499	-0.225718107	8.154733272	10.07620971	0.00150196	0.005709099	0.120853126	8.154733272	2.927923286	0.087059414	0.178291304	PPP1CA|5499	0.268579122	8.154733272	16.04566825	6.18E-05	0.000387398	-0.16371414	8.154733272	5.739472791	0.016587771	0.031177566
PPP1CB	5500	-0.08862584	8.716032295	1.58263445	0.20838163	0.310622377	0.15680942	8.716032295	4.959707077	0.025944602	0.070026487	PPP1CB|5500	0.116706134	8.716032295	2.987537122	0.083907696	0.157250693	-0.184889714	8.716032295	7.315818749	0.006835025	0.014215806
PPP1CC	5501	-0.084723767	7.65399268	1.801241682	0.179562454	0.27658604	-0.12617917	7.65399268	3.859212751	0.049473537	0.115974959	PPP1CC|5501	0.023183828	7.65399268	0.145294919	0.703072874	0.791701634	0.18771911	7.65399268	9.771203212	0.001772664	0.004284361
PPP1R10	5514	-0.073387634	6.384824387	1.54769496	0.21347605	0.316079197	0.105543224	6.384824387	3.178009812	0.074635584	0.158773466	PPP1R10|5514	-0.103141007	6.384824387	3.24305305	0.071726861	0.138853273	0.070985417	6.384824387	1.578686393	0.208950009	0.281088215
PPP1R11	6992	-0.115384015	7.100854663	3.176709983	0.074694987	0.139162296	-0.0211267	7.100854663	0.104639168	0.746331919	0.833323631	PPP1R11|6992	0.134141006	7.100854663	4.697876519	0.030199908	0.069532465	0.002369709	7.100854663	0.00145753	0.969546068	0.977060933
PPP1R12A	4659	0.091215019	5.79998635	2.195970734	0.138372012	0.225100529	-0.163064984	5.79998635	6.605141826	0.01016847	0.033196895	PPP1R12A|4659	-0.007220575	5.79998635	0.014465549	0.904267042	0.936654653	0.079070539	5.79998635	1.765540196	0.183934979	0.252164645
PPP1R12B	4660	0.697175689	4.845205418	45.68136853	1.39E-11	2.88E-10	0.029618877	4.845205418	0.074415226	0.785013461	0.860094149	PPP1R12B|4660	-0.440409872	4.845205418	17.06451993	3.61E-05	0.000244604	-0.286384694	4.845205418	7.411604562	0.00648045	0.013583902
ATP8B2	57198	0.402410898	5.108427672	15.53190722	8.11E-05	0.000486516	-0.642434575	5.108427672	33.76244723	6.23E-09	2.51E-07	ATP8B2|57198	-0.244171037	5.108427672	5.649849712	0.017456868	0.044481387	0.484194714	5.108427672	24.17753862	8.79E-07	4.30E-06
PPP1R12C	54776	0.095652539	5.588196283	1.440194747	0.230107829	0.334518376	-0.052691579	5.588196283	0.416910351	0.518482759	0.65172366	PPP1R12C|54776	0.007741702	5.588196283	0.00992861	0.920628223	0.946640295	-0.050702662	5.588196283	0.42668889	0.513618148	0.593164233
PPP1R13B	23368	-0.264022366	6.404116797	9.463116469	0.002096446	0.007549985	0.286239163	6.404116797	11.55553549	0.000675479	0.003601605	PPP1R13B|23368	-0.14480825	6.404116797	3.077530689	0.079380961	0.150435179	0.122591453	6.404116797	2.289505594	0.130251408	0.187951471
PPP1R13L	10848	0.480755592	5.491704351	20.59920957	5.66E-06	4.79E-05	0.447985511	5.491704351	17.35419062	3.10E-05	0.000288093	PPP1R13L|10848	-0.375071106	5.491704351	12.09736043	0.000504933	0.002334805	-0.553669997	5.491704351	26.0389068	3.35E-07	1.77E-06
PPP1R14A	94274	-0.065877548	4.332254711	0.128932137	0.719541815	0.795915162	-0.907956551	4.332254711	21.27700323	3.97E-06	5.32E-05	PPP1R14A|94274	0.471759294	4.332254711	7.442870794	0.006368822	0.019540645	0.502074806	4.332254711	8.51793082	0.003516641	0.007900382
PPP1R14B	26472	-0.004693383	6.62807761	0.002330559	0.961496387	0.972319133	0.215540644	6.62807761	4.905753344	0.026767373	0.07180132	PPP1R14B|26472	0.093587316	6.62807761	0.996233761	0.318223547	0.442285664	-0.304434577	6.62807761	10.17186686	0.001425998	0.003519189
PPP1R14C	81706	-0.124328074	3.837557989	0.434706543	0.50968851	0.615983286	-0.020177557	3.837557989	0.011262502	0.915483228	0.947893165	PPP1R14C|81706	-0.048464889	3.837557989	0.070941621	0.789970683	0.85555639	0.19297052	3.837557989	1.163501425	0.280740558	0.360451162
PPP1R15A	23645	0.462651528	5.708092392	19.53907631	9.86E-06	7.75E-05	0.140707532	5.708092392	1.694381335	0.193024418	0.322633497	PPP1R15A|23645	-0.201027804	5.708092392	3.639074035	0.056438315	0.114423552	-0.402331256	5.708092392	14.3657244	0.000150517	0.000465664
PPP1R15B	84919	-0.080450343	6.540095259	1.759845141	0.184643833	0.282888708	-0.033713682	6.540095259	0.301864955	0.582715617	0.70592259	PPP1R15B|84919	0.019763269	6.540095259	0.114303611	0.735296745	0.81600451	0.094400756	6.540095259	2.65056673	0.103512987	0.154331035
PPP1R16A	84988	-0.255294424	7.14684736	6.888321261	0.008676071	0.024132454	0.585880848	7.14684736	38.95908372	4.33E-10	2.60E-08	PPP1R16A|84988	-0.125507167	7.14684736	1.801721155	0.179504555	0.285018395	-0.205079258	7.14684736	4.808407722	0.028321202	0.050029774
PPP1R16B	26051	0.091140405	5.109379398	0.297931052	0.585182382	0.685438853	0.376026346	5.109379398	5.098904752	0.023940956	0.065702655	PPP1R16B|26051	0.257937244	5.109379398	2.579870827	0.108230494	0.192359186	-0.725103995	5.109379398	18.39550086	1.79E-05	6.70E-05
ATP8B3	148229	0.648681779	0.998038951	10.68050132	0.001082707	0.004381522	-0.155741446	0.998038951	0.54368016	0.460911538	0.602154172	ATP8B3|148229	0.149193042	0.998038951	0.567558104	0.451230896	0.575511393	-0.642133374	0.998038951	9.694068505	0.001848638	0.004446083
PPP1R1A	5502	0.028524886	2.428296409	0.012127821	0.912309142	0.938657197	0.009381007	2.428296409	0.001279709	0.971463346	0.982969359	PPP1R1A|5502	-0.931415864	2.428296409	12.22091972	0.000472566	0.002208419	0.893509971	2.428296409	13.78869123	0.000204564	0.000615837
PPP1R1B	84152	-1.064649687	6.551451644	17.17134945	3.42E-05	0.000229085	0.30966596	6.551451644	1.680734515	0.194826881	0.324932191	PPP1R1B|84152	0.266670763	6.551451644	1.351826678	0.244959028	0.363608115	0.488312964	6.551451644	4.667451907	0.030739502	0.053779104
PPP1R1C	151242	-0.879059574	0.712247294	8.875511814	0.002890212	0.009837974	-0.297352611	0.712247294	1.062420127	0.302663858	0.447654119	PPP1R1C|151242	0.150751109	0.712247294	0.316733923	0.57357708	0.685408841	1.025661077	0.712247294	15.95517146	6.49E-05	0.000215898
