GO.ID	Description	p.Val	FDR	Phenotype	Genes
REAC:8848021	Signaling by PTK6	1.81e-09	1.81e-09	1	CCND1,CDKN1B,KRAS,AKT1,EGFR,ARHGAP35,ERBB4,LRRK2,NF1,NRAS
GO:0016049	cell growth	1.82e-09	1.82e-09	1	PPP2R1A,CDKN1B,STK11,USP9X,CDKN1A,SOX9,ACVR1B,TP53,SMAD4,AKT1,EGFR,CDKN2A,BAP1,SOX17,AR,WT1,H3F3C,MTOR
GO:1901987	regulation of cell cycle phase transition	2.01e-09	2.01e-09	1	EP300,FBXW7,CCND1,CDKN1B,CDKN1A,APC,RB1,TP53,AKT1,EGFR,TAF1,CDKN2A,ATM,PTEN,NPM1,CHEK2
REAC:112399	IRS-mediated signalling	3.62e-09	3.62e-09	1	HGF,FGFR2,FGFR3,PPP2R1A,STK11,PIK3CA,KRAS,PDGFRA,AKT1,PIK3R1,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,MTOR,NRAS
GO:0001837	epithelial to mesenchymal transition	4.40e-09	4.40e-09	1	HGF,EPHA3,EZH2,SOX9,FOXA2,FOXA1,SMAD4,NOTCH1,TGFBR2,CTNNB1,AXIN2,SMAD2
REAC:2428928	IRS-related events triggered by IGF1R	4.54e-09	4.54e-09	1	HGF,FGFR2,FGFR3,PPP2R1A,STK11,PIK3CA,KRAS,PDGFRA,AKT1,PIK3R1,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:74751	Insulin receptor signalling cascade	4.54e-09	4.54e-09	1	HGF,FGFR2,FGFR3,PPP2R1A,STK11,PIK3CA,KRAS,PDGFRA,AKT1,PIK3R1,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:2428924	IGF1R signaling cascade	4.54e-09	4.54e-09	1	HGF,FGFR2,FGFR3,PPP2R1A,STK11,PIK3CA,KRAS,PDGFRA,AKT1,PIK3R1,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,MTOR,NRAS
REAC:2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)	4.80e-09	4.80e-09	1	HGF,FGFR2,FGFR3,PPP2R1A,STK11,PIK3CA,KRAS,PDGFRA,AKT1,PIK3R1,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,MTOR,NRAS
GO:0007050	cell cycle arrest	6.05e-09	6.05e-09	1	BRCA1,EP300,CCND1,CDKN1B,STK11,CDKN1A,APC,RB1,TP53,CDKN2A,ATM,NPM1,CHEK2,MTOR
REAC:74752	Signaling by Insulin receptor	1.66e-08	1.66e-08	1	HGF,FGFR2,FGFR3,PPP2R1A,STK11,PIK3CA,KRAS,PDGFRA,AKT1,PIK3R1,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,MTOR,NRAS
GO:0000082	G1/S transition of mitotic cell cycle	2.03e-08	2.03e-08	1	EP300,CCND1,CDKN1B,CDKN2C,CDKN1A,ACVR1B,RB1,TP53,AKT1,EGFR,CDKN2A,ATM,PTEN,NPM1,CHEK2
GO:0000075	cell cycle checkpoint	2.15e-08	2.15e-08	1	BRCA1,SMC1A,EP300,CCND1,CDKN1B,CDKN1A,APC,RB1,TP53,AKT1,ATM,ATR,NPM1,CHEK2
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle	2.44e-08	2.44e-08	1	EP300,CCND1,CDKN1B,CDKN1A,RB1,TP53,ATM,PTEN,NPM1,CHEK2
GO:0007507	heart development	3.08e-08	3.08e-08	1	FGFR2,GATA3,SOX9,PDGFRA,SMAD4,EGFR,NOTCH1,TGFBR2,SOX17,CTNNB1,PTEN,ERBB4,PTPN11,WT1,NF1
GO:1902807	negative regulation of cell cycle G1/S phase transition	3.11e-08	3.11e-08	1	EP300,CCND1,CDKN1B,CDKN1A,RB1,TP53,ATM,PTEN,NPM1,CHEK2
GO:0030879	mammary gland development	3.21e-08	3.21e-08	1	FGFR2,GATA3,TBX3,BRCA2,AKT1,ARHGAP35,ELF3,ERBB4
REAC:2219530	Constitutive Signaling by Aberrant PI3K in Cancer	3.26e-08	3.26e-08	1	HGF,FGFR2,FGFR3,PIK3CA,PDGFRA,PIK3R1,EGFR,KIT,ERBB4,PTPN11
REAC:4420097	VEGFA-VEGFR2 Pathway	4.25e-08	4.25e-08	1	HGF,FGFR2,FGFR3,PPP2R1A,PIK3CA,KRAS,PDGFRA,AKT1,PIK3R1,EGFR,KIT,BRAF,CTNNB1,ERBB4,NF1,MTOR,NRAS
GO:0045926	negative regulation of growth	4.54e-08	4.54e-08	1	FGFR3,PPP2R1A,CDKN1B,STK11,CDKN2C,CDKN1A,ACVR1B,TP53,SMAD4,CDKN2A,SOX17,PTEN,WT1
GO:0010717	regulation of epithelial to mesenchymal transition	4.66e-08	4.66e-08	1	EPHA3,EZH2,FOXA2,FOXA1,SMAD4,NOTCH1,TGFBR2,CTNNB1,AXIN2,SMAD2
REAC:194138	Signaling by VEGF	6.19e-08	6.19e-08	1	HGF,FGFR2,FGFR3,PPP2R1A,PIK3CA,KRAS,PDGFRA,AKT1,PIK3R1,EGFR,KIT,BRAF,CTNNB1,ERBB4,NF1,MTOR,NRAS
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	6.84e-08	6.84e-08	1	CCND1,CDKN1B,CDKN2C,CDKN1A,APC,AKT1,EGFR,CDKN2A,PTEN,CEBPA
REAC:5637812	Signaling by EGFRvIII in Cancer	6.99e-08	6.99e-08	1	PIK3CA,KRAS,PIK3R1,EGFR,NRAS
REAC:5637810	Constitutive Signaling by EGFRvIII	6.99e-08	6.99e-08	1	PIK3CA,KRAS,PIK3R1,EGFR,NRAS
GO:1904029	regulation of cyclin-dependent protein kinase activity	9.22e-08	9.22e-08	1	CCND1,CDKN1B,CDKN2C,CDKN1A,APC,AKT1,EGFR,CDKN2A,PTEN,CEBPA
GO:1901990	regulation of mitotic cell cycle phase transition	9.80e-08	9.80e-08	1	EP300,CCND1,CDKN1B,CDKN1A,APC,RB1,TP53,AKT1,EGFR,CDKN2A,ATM,PTEN,NPM1,CHEK2
GO:0016570	histone modification	1.05e-07	1.05e-07	1	BRCA1,ATRX,EP300,EZH2,KDM5C,BRCA2,TP53,SMAD4,KDM6A,BAP1,NSD1,CTNNB1,TET2,SIN3A,ASXL1,TBL1XR1,SETD2
GO:0042770	signal transduction in response to DNA damage	1.20e-07	1.20e-07	1	BRCA1,SMC1A,ATRX,EP300,CDKN1B,CDKN1A,TP53,ATM,ATR,NPM1,CHEK2
GO:0033157	regulation of intracellular protein transport	1.43e-07	1.43e-07	1	CDH1,KEAP1,FBXW7,TLR4,TP53,SMAD4,PIK3R1,EGFR,U2AF1,BAP1,ERBB4,SETD2,LRRK2,NF1
GO:0016569	covalent chromatin modification	2.00e-07	2.00e-07	1	BRCA1,ATRX,EP300,EZH2,KDM5C,BRCA2,TP53,SMAD4,KDM6A,BAP1,NSD1,CTNNB1,TET2,SIN3A,ASXL1,TBL1XR1,SETD2
GO:0051090	regulation of sequence-specific DNA binding transcription factor activity	2.28e-07	2.28e-07	1	KEAP1,EP300,FOXA2,FOXA1,TLR4,RB1,AKT1,TAF1,CDKN2A,ARID5B,KIT,CTNNB1,AR,PTEN,NPM1
GO:0045930	negative regulation of mitotic cell cycle	2.54e-07	2.54e-07	1	SMC1A,ATRX,EP300,CCND1,CDKN1B,CDKN1A,APC,RB1,TP53,ATM,CTNNB1,PTEN,NPM1,CHEK2
REAC:5637815	Signaling by Ligand-Responsive EGFR Variants in Cancer	2.69e-07	2.69e-07	1	PIK3CA,KRAS,PIK3R1,EGFR,NRAS
REAC:1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	2.69e-07	2.69e-07	1	PIK3CA,KRAS,PIK3R1,EGFR,NRAS
REAC:1643713	Signaling by EGFR in Cancer	2.69e-07	2.69e-07	1	PIK3CA,KRAS,PIK3R1,EGFR,NRAS
GO:0030330	DNA damage response, signal transduction by p53 class mediator	3.46e-07	3.46e-07	1	BRCA1,ATRX,EP300,CDKN1B,CDKN1A,TP53,ATM,ATR,NPM1,CHEK2
GO:0033673	negative regulation of kinase activity	3.66e-07	3.66e-07	1	CDKN1B,APC,RB1,AKT1,CDKN2A,PTEN,CRIPAK,NPM1,NF1,CEBPA
GO:0071407	cellular response to organic cyclic compound	3.68e-07	3.68e-07	1	BRCA1,CDH1,EP300,ARID1A,FOXA1,RB1,NCOR1,EGFR,TAF1,CTNNB1,AR,SMAD2,CRIPAK,NPM1,WT1,LRRK2
REAC:1227986	Signaling by ERBB2	4.89e-07	4.89e-07	1	PIK3CA,KRAS,AKT1,PIK3R1,EGFR,ERBB4,NRAS
GO:0034968	histone lysine methylation	5.16e-07	5.16e-07	1	BRCA1,ATRX,EZH2,SMAD4,KDM6A,NSD1,CTNNB1,TET2,SETD2
GO:0006469	negative regulation of protein kinase activity	5.44e-07	5.44e-07	1	APC,RB1,AKT1,CDKN2A,PTEN,CRIPAK,NPM1,NF1,CEBPA
GO:0001558	regulation of cell growth	5.72e-07	5.72e-07	1	PPP2R1A,CDKN1B,STK11,CDKN2C,CDKN1A,ACVR1B,TP53,SMAD4,AKT1,EGFR,CDKN2A,BAP1,SOX17,WT1,H3F3C
GO:0006275	regulation of DNA replication	5.89e-07	5.89e-07	1	SMC1A,ATRX,STAG2,PPP2R1A,SMC3,FBXW7,PDGFRA,EGFR,ATR,CHEK2
REAC:5633007	Regulation of TP53 Activity	6.50e-07	6.50e-07	1	BRCA1,EP300,PPP2R1A,STK11,TP53,AKT1,TAF1,CDKN2A,ATM,ATR,CHEK2,MTOR
GO:0030308	negative regulation of cell growth	6.78e-07	6.78e-07	1	PPP2R1A,CDKN1B,STK11,CDKN2C,CDKN1A,ACVR1B,TP53,SMAD4,CDKN2A,SOX17,WT1
GO:0072331	signal transduction by p53 class mediator	7.05e-07	7.05e-07	1	BRCA1,ATRX,EP300,CDKN1B,STK11,CDKN1A,TP53,AKT1,TAF1,ATM,ATR,NPM1,CHEK2
REAC:8853334	Signaling by FGFR3 fusions in cancer	7.17e-07	7.17e-07	1	FGFR3,PIK3CA,KRAS,PIK3R1,NRAS
GO:0038127	ERBB signaling pathway	8.04e-07	8.04e-07	1	FBXW7,PIK3CA,SOX9,KRAS,AKT1,PIK3R1,EGFR,ERBB4,NRAS
GO:0006260	DNA replication	8.59e-07	8.59e-07	1	BRCA1,POLQ,SMC1A,ATRX,STAG2,PPP2R1A,SMC3,FBXW7,PDGFRA,BRCA2,EGFR,ATM,ATR,CHEK2
REAC:512988	Interleukin-3, 5 and GM-CSF signaling	9.43e-07	9.43e-07	1	HGF,FGFR2,FGFR3,PPP2R1A,PIK3CA,KRAS,PDGFRA,PIK3R1,EGFR,KIT,BRAF,ERBB4,PTPN11,NF1,NRAS
REAC:912526	Interleukin receptor SHC signaling	9.84e-07	9.84e-07	1	HGF,FGFR2,FGFR3,PPP2R1A,PIK3CA,KRAS,PDGFRA,PIK3R1,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
GO:0044786	cell cycle DNA replication	9.93e-07	9.93e-07	1	SMC1A,ATRX,STAG2,SMC3,FBXW7,BRCA2,CHEK2
GO:0007568	aging	1.05e-06	1.05e-06	1	CDKN1A,TBX3,TP53,CDKN2A,ATM,ATR,NPM1,CHEK2,LRRK2
GO:0001933	negative regulation of protein phosphorylation	1.10e-06	1.10e-06	1	MECOM,PPP2R1A,APC,TLR4,RB1,NCOR1,SMAD4,AKT1,CDKN2A,PTEN,CRIPAK,NPM1,LRRK2,NF1,CEBPA
GO:0051348	negative regulation of transferase activity	1.11e-06	1.11e-06	1	CDKN1B,APC,RB1,TP53,AKT1,CDKN2A,PTEN,CRIPAK,NPM1,NF1,CEBPA
GO:0007093	mitotic cell cycle checkpoint	1.18e-06	1.18e-06	1	SMC1A,EP300,CCND1,CDKN1B,CDKN1A,APC,RB1,TP53,ATM,NPM1,CHEK2
GO:0033044	regulation of chromosome organization	1.33e-06	1.33e-06	1	BRCA1,ATRX,CTCF,APC,RB1,TP53,SMAD4,ATM,RAD21,NSD1,CTNNB1,AXIN2,SIN3A,ATR
REAC:451927	Interleukin-2 signaling	1.40e-06	1.40e-06	1	HGF,FGFR2,FGFR3,PPP2R1A,PIK3CA,KRAS,PDGFRA,PIK3R1,EGFR,KIT,BRAF,ERBB4,NF1,NRAS
GO:0071214	cellular response to abiotic stimulus	1.61e-06	1.61e-06	1	MAP2K4,MAP3K1,EP300,GATA3,STK11,CDKN1A,SOX9,TLR4,TP53,TAF1,ATM,ATR
GO:1903533	regulation of protein targeting	1.62e-06	1.62e-06	1	CDH1,KEAP1,FBXW7,TLR4,SMAD4,PIK3R1,EGFR,U2AF1,BAP1,ERBB4,LRRK2,NF1
REAC:6804757	Regulation of TP53 Degradation	1.67e-06	1.67e-06	1	PPP2R1A,TP53,AKT1,CDKN2A,ATM,CHEK2,MTOR
GO:0007173	epidermal growth factor receptor signaling pathway	1.83e-06	1.83e-06	1	FBXW7,PIK3CA,SOX9,KRAS,AKT1,PIK3R1,EGFR,NRAS
GO:0007059	chromosome segregation	1.83e-06	1.83e-06	1	BRCA1,SMC1A,ATRX,STAG2,CTCF,ERCC2,PPP2R1A,SMC3,FBXW7,APC,RB1,ATM,RAD21,CTNNB1,AXIN2
GO:0090399	replicative senescence	1.84e-06	1.84e-06	1	TP53,CDKN2A,ATM,ATR,CHEK2
GO:0018022	peptidyl-lysine methylation	1.92e-06	1.92e-06	1	BRCA1,ATRX,EZH2,SMAD4,KDM6A,NSD1,CTNNB1,TET2,SETD2
GO:0009314	response to radiation	1.96e-06	1.96e-06	1	BRCA1,SMC1A,EP300,GATA3,CCND1,STK11,CDKN1A,TP53,AKT1,EGFR,TAF1,ATM,ATR,NF1
REAC:6806003	Regulation of TP53 Expression and Degradation	2.05e-06	2.05e-06	1	PPP2R1A,TP53,AKT1,CDKN2A,ATM,CHEK2,MTOR
GO:0007569	cell aging	2.31e-06	2.31e-06	1	CDKN1A,TBX3,TP53,CDKN2A,ATM,ATR,NPM1,CHEK2
GO:1901991	negative regulation of mitotic cell cycle phase transition	3.19e-06	3.19e-06	1	EP300,CCND1,CDKN1B,CDKN1A,APC,RB1,TP53,ATM,PTEN,NPM1,CHEK2
GO:0044819	mitotic G1/S transition checkpoint	3.27e-06	3.27e-06	1	EP300,CCND1,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0031571	mitotic G1 DNA damage checkpoint	3.27e-06	3.27e-06	1	EP300,CCND1,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0046822	regulation of nucleocytoplasmic transport	3.38e-06	3.38e-06	1	CDH1,KEAP1,TLR4,TP53,SMAD4,PIK3R1,EGFR,ERBB4,SETD2,NF1
REAC:5655291	Signaling by FGFR4 in disease	3.42e-06	3.42e-06	1	PIK3CA,KRAS,PIK3R1,NRAS
GO:0044783	G1 DNA damage checkpoint	3.68e-06	3.68e-06	1	EP300,CCND1,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0071156	regulation of cell cycle arrest	3.75e-06	3.75e-06	1	BRCA1,EP300,CCND1,CDKN1B,CDKN1A,TP53,ATM,NPM1,CHEK2
GO:0007063	regulation of sister chromatid cohesion	4.05e-06	4.05e-06	1	ATRX,CTCF,RB1,RAD21,CTNNB1,AXIN2
GO:1901988	negative regulation of cell cycle phase transition	4.26e-06	4.26e-06	1	EP300,CCND1,CDKN1B,CDKN1A,APC,RB1,TP53,ATM,PTEN,NPM1,CHEK2
GO:0001655	urogenital system development	4.41e-06	4.41e-06	1	FGFR2,GATA3,SOX9,PDGFRA,SOX17,CTNNB1,AR,WT1,LRRK2,NF1
GO:0016579	protein deubiquitination	4.44e-06	4.44e-06	1	BRCA1,KEAP1,EP300,GATA3,USP9X,APC,TP53,SMAD4,BAP1,AXIN2,AR,ASXL1,PTEN,SMAD2
GO:0043525	positive regulation of neuron apoptotic process	4.69e-06	4.69e-06	1	FBXW7,TP53,CTNNB1,NF1
GO:0038128	ERBB2 signaling pathway	5.27e-06	5.27e-06	1	PIK3CA,KRAS,PIK3R1,EGFR,ERBB4,NRAS
GO:0010718	positive regulation of epithelial to mesenchymal transition	5.79e-06	5.79e-06	1	EZH2,SMAD4,NOTCH1,TGFBR2,CTNNB1,AXIN2,SMAD2
GO:0009411	response to UV	6.05e-06	6.05e-06	1	EP300,ERCC2,CCND1,STK11,CDKN1A,TP53,AKT1,EGFR,TAF1,ATR
GO:0016571	histone methylation	6.70e-06	6.70e-06	1	BRCA1,ATRX,EZH2,SMAD4,KDM6A,NSD1,CTNNB1,TET2,SETD2
GO:0000077	DNA damage checkpoint	6.84e-06	6.84e-06	1	BRCA1,EP300,CCND1,CDKN1B,CDKN1A,TP53,ATM,ATR,NPM1,CHEK2
GO:0070371	ERK1 and ERK2 cascade	7.10e-06	7.10e-06	1	FGFR2,FGFR3,FBXW7,SOX9,PDGFRA,TLR4,SMAD4,EGFR,BRAF,PTEN,ERBB4
