GENE,COMMON,gal1RGexp,gal4RGexp,gal80Rexp,gal1RGsig,gal4RGsig,gal80Rsig
YOL101C,YOL101C,-0.081,-0.111,-0.032,3.58970e-02,2.04630e-02,6.01550e-01
YBR029C,CDS1,-0.032,-0.028,-0.007,5.48140e-01,6.29550e-01,9.45540e-01
YNL122C,YNL122C,-0.074,0.026,-0.045,1.30380e-01,6.23720e-01,6.87930e-01
YIR034C,LYS1,-0.085,-0.272,0.278,3.83370e-02,1.80940e-04,2.17220e-03
YLR268W,SEC22,-0.123,-0.009,-0.541,7.22570e-03,9.03610e-01,6.23470e-05
YHR055C,CUP1B,-0.867,-0.416,0.802,2.88130e-06,2.67530e-02,1.96960e-12
YPR112C,YPR112C,0.227,0.286,0.547,2.47900e-03,3.23240e-04,9.10460e-04
YGR076C,MRPL25,0.145,0.000,0.046,6.24340e-03,9.99999e-01,7.01740e-01
YOR060C,YOR060C,-0.022,-0.126,0.246,6.36010e-01,6.44630e-02,5.29760e-02
YDR495C,VPS3,-0.011,-0.216,0.251,9.79400e-01,7.42430e-01,3.71690e-02
YLR269C,YLR269C,0.015,0.214,0.089,8.95260e-01,1.19540e-01,5.16600e-01
YGL117W,YGL117W,-0.356,-0.740,0.262,3.27050e-08,7.34450e-06,5.06850e-02
YCR008W,SAT4,0.151,0.005,0.135,1.63140e-02,9.64330e-01,3.82500e-01
YJR013W,YJR013W,-0.048,0.064,-0.205,2.99740e-01,2.36720e-01,9.14120e-02
YML070W,DAK1,-0.053,0.171,-0.373,3.31080e-01,9.25650e-04,5.84920e-07
YHR128W,FUR1,-0.091,-0.398,-0.046,1.32070e-01,3.47610e-04,6.87930e-01
YKL185W,ASH1,-0.076,0.215,-0.016,3.69370e-02,8.23600e-05,7.88450e-01
YBR240C,THI2,0.009,-0.054,0.294,9.23040e-01,6.60710e-01,1.43380e-01
YGR149W,YGR149W,-0.610,0.044,-0.364,1.42050e-10,4.73700e-01,3.71270e-08
YOR133W,EFT1,-0.260,-0.053,-0.584,2.95720e-04,2.86080e-01,3.41550e-10
YOR206W,YOR206W,0.145,-0.451,0.325,4.86040e-03,1.20380e-04,1.28960e-02
YGL118C,YGL118C,0.069,-0.184,0.548,4.13750e-01,2.30250e-01,1.87860e-02
YFL066C,YFL066C,0.042,-0.025,-0.357,3.09380e-01,6.07390e-01,7.82560e-06
YOL102C,TPT1,-0.017,-0.181,0.151,7.09610e-01,3.61500e-02,1.67850e-01
YCR009C,RVS161,-0.145,-0.148,0.151,9.60260e-04,9.07840e-03,1.59170e-02
YNL050C,YNL050C,0.301,-0.448,0.594,1.42500e-05,3.19260e-03,7.51240e-04
YMR175W,SIP18,0.018,-0.317,-0.334,6.41590e-01,4.27300e-03,1.79500e-05
YLR196W,PWP1,0.130,-1.068,0.996,9.45220e-03,1.25350e-07,2.86900e-05
YIR035C,YIR035C,-0.464,-0.383,0.005,1.39470e-08,3.58160e-06,9.41780e-01
YHR056C,YHR056C,-0.112,-0.338,0.142,3.27520e-01,4.04810e-01,8.12930e-01
YKL186C,MTR2,0.157,0.035,0.338,7.51310e-03,5.55630e-01,5.61460e-03
YHR129C,ARP1,-0.270,-0.255,0.160,2.40260e-03,3.02210e-02,3.06580e-01
YGR077C,PEX8,-0.064,0.309,-0.177,1.17720e-01,4.87440e-06,7.74640e-02
YDR496C,YDR496C,0.208,-0.295,0.386,7.80620e-05,2.79540e-01,1.48180e-02
YOR207C,RET1,-0.044,0.253,0.242,4.18690e-01,3.91270e-02,2.05150e-01
YAL019W,YAL019W,0.070,-0.000,0.000,9.12230e-02,8.83870e-01,9.99999e-01
YIL003W,YIL003W,-0.071,-0.139,0.131,1.33500e-01,4.94110e-02,2.98400e-01
YHL024W,NOS1,0.154,0.119,-0.136,4.44770e-03,1.57440e-01,2.78720e-01
YGL045W,YGL045W,-0.279,0.097,-0.290,1.36790e-06,5.37860e-02,9.81230e-03
YNL123W,YNL123W,-0.049,-0.206,-0.021,3.41890e-01,7.82600e-02,8.62490e-01
YJR014W,YJR014W,0.070,-0.158,0.090,1.25230e-01,3.77260e-02,3.38880e-01
YIL004C,BET1,-0.093,-0.542,-0.310,1.51940e-01,2.42060e-04,1.15740e-01
YPR040W,YPR040W,0.210,0.070,0.461,7.04270e-05,2.64450e-01,1.11930e-04
YBR241C,YBR241C,-0.056,0.529,-0.121,1.79150e-01,4.64080e-08,5.80590e-02
YPR113W,PIS1,-0.495,0.025,-0.890,1.04560e-09,5.45930e-01,5.62020e-18
YOR061W,CKA2,0.080,-0.124,0.158,5.06040e-02,5.45210e-02,4.93520e-02
YOR134W,BAG7,-0.363,-0.017,0.493,2.86230e-08,7.57500e-01,1.31050e-04
YML072C,YML072C,-0.034,0.298,0.404,4.66330e-01,2.72020e-05,2.97720e-04
YLR197W,SIK1,0.020,-0.521,0.490,7.01740e-01,1.08140e-05,3.38140e-08
YIR036C,YIR036C,0.047,0.286,-0.099,3.02150e-01,1.33720e-05,2.44580e-01
YHR057C,CYP2,0.166,0.026,0.290,8.23870e-04,6.53650e-01,2.28400e-02
YKL187C,YKL187C,0.999,1.222,0.206,7.45680e-11,2.38260e-10,6.22650e-02
YGR078C,PAC10,-0.004,-0.564,0.442,9.28730e-01,8.21280e-05,1.73100e-02
YOR062C,YOR062C,0.168,-0.041,0.391,9.70280e-03,7.47870e-01,1.12720e-02
YOR135C,YOR135C,-0.092,-0.078,-0.816,2.06040e-02,1.00100e-01,5.38730e-16
YDR497C,ITR1,-0.117,-0.068,-0.057,4.17370e-03,1.58480e-01,4.15390e-01
YHL025W,SNF6,-0.001,-0.039,0.133,9.79400e-01,4.12820e-01,1.05750e-01
YLR198C,YLR198C,0.104,-0.598,0.352,7.48800e-02,5.40760e-07,8.48220e-02
YGL046W,YGL046W,-0.123,-0.057,-0.040,1.38370e-01,6.32020e-01,7.78200e-01
YGL119W,ABC1,-0.072,-0.015,-0.030,1.17030e-01,7.78200e-01,7.50240e-01
YOL030W,YOL030W,-0.070,0.093,-0.581,6.59390e-02,5.74330e-02,7.62910e-13
YFL067W,YFL067W,0.053,-0.058,-0.293,1.79630e-01,2.05620e-01,2.52950e-06
YOL103W,ITR2,-0.075,-0.175,-0.282,6.31750e-02,1.26650e-03,2.64440e-06
YNL124W,YNL124W,0.161,-0.220,0.144,2.33450e-03,1.54790e-03,1.97330e-01
YJR015W,YJR015W,-0.149,0.141,-0.345,9.44830e-04,1.87170e-03,5.30400e-07
YDR200C,YDR200C,0.006,-0.236,0.150,8.85690e-01,5.19000e-03,7.77490e-02
YPR041W,TIF5,-0.059,-0.243,-0.177,1.12030e-01,6.19970e-03,1.17380e-02
YHL026C,YHL026C,-0.016,-0.305,0.278,7.99270e-01,2.70020e-02,9.57270e-02
YPR114W,YPR114W,-0.137,-0.063,-0.232,1.21680e-03,1.78030e-01,1.47700e-04
YOR208W,PTP2,-0.274,-0.131,0.210,2.10220e-06,2.93440e-02,5.66470e-03
YOL031C,YOL031C,-0.414,-0.147,-0.424,2.17020e-08,1.21600e-02,1.29710e-04
YOL104C,NDJ1,-0.258,-0.068,-0.554,5.84390e-06,1.47040e-01,3.13410e-08
YNL125C,ESBP6,0.496,0.413,-0.299,5.62760e-09,2.88880e-07,1.31460e-04
YMR177W,MMT1,-0.154,-0.548,-0.151,4.28160e-02,1.47850e-04,6.50980e-01
YJR016C,ILV3,-0.083,0.069,-0.411,5.13550e-02,1.08860e-01,1.21610e-07
YML073C,RPL6A,-0.408,-0.513,-0.563,1.88660e-07,4.20910e-07,9.69810e-08
YHR058C,MED6,0.122,-0.282,0.315,1.47840e-02,3.14050e-03,3.11260e-02
YKL188C,PXA2,0.245,0.182,0.460,1.51890e-04,6.58320e-02,2.83920e-03
YDR498C,SEC20,0.075,0.087,-0.672,8.35390e-02,2.73060e-01,7.22970e-09
YOR209C,NPT1,-0.160,-0.306,-0.027,1.79220e-04,3.19010e-04,6.83090e-01
YIL005W,YIL005W,0.077,-0.235,0.014,5.04880e-01,4.78620e-01,2.67410e-01
YBR242W,YBR242W,0.021,-0.339,0.377,6.58510e-01,1.67070e-04,8.27640e-03
YLR199C,YLR199C,0.078,-0.048,-0.038,1.02770e-01,6.06930e-01,7.52630e-01
YPL010W,RET3,-0.226,-0.075,-0.172,9.94130e-06,1.30710e-01,5.68770e-03
YGL047W,YGL047W,-0.158,0.011,-0.062,1.89420e-03,8.65550e-01,5.58290e-01
YFL068W,YFL068W,0.026,-0.053,-0.112,5.26750e-01,2.45860e-01,1.19590e-01
YNL052W,COX5A,0.103,0.172,-0.222,1.89660e-02,5.14780e-04,7.49870e-05
YIR037W,HYR1,-0.158,0.233,-0.164,2.45880e-04,3.82460e-04,2.86320e-03
YBR170C,NPL4,0.128,-0.134,0.429,7.82980e-03,1.34540e-01,1.61840e-03
YGR079W,YGR079W,0.153,-0.647,0.614,2.24920e-02,2.30870e-05,1.06440e-03
YPR115W,YPR115W,-0.047,0.646,0.191,8.28970e-01,1.39890e-05,4.00110e-01
YBR243C,ALG7,-0.000,0.028,-0.566,9.99999e-01,5.88090e-01,1.78340e-06
YPL011C,TAF47,0.072,-0.145,0.381,1.21700e-01,4.43110e-02,5.56140e-04
YOR063W,RPL3,-0.406,-0.136,-0.368,4.97460e-09,7.20690e-03,5.16440e-06
YGL048C,RPT6,0.153,0.118,0.091,1.72370e-03,2.05020e-02,1.99050e-01
YOR136W,IDH2,-0.064,0.022,-0.728,8.00440e-02,6.76000e-01,4.20290e-16
YOL105C,WSC3,-0.032,0.246,-0.583,4.20350e-01,9.17140e-06,3.63070e-10
YMR178W,YMR178W,-0.077,-0.155,-0.011,1.48650e-01,5.32090e-02,9.41780e-01
YML074C,NPI46,0.118,-0.380,0.389,2.49500e-02,5.29530e-05,3.32330e-05
YJR017C,ESS1,-0.070,-0.057,-0.150,8.18390e-02,2.50710e-01,3.06820e-02
YIR038C,GTT1,-0.181,0.320,-0.080,1.37510e-04,1.24250e-03,2.60520e-01
YOR064C,YOR064C,0.243,-0.036,0.203,2.14200e-05,5.72810e-01,6.87760e-02
YOR137C,YOR137C,-0.253,-0.072,-0.055,4.04090e-06,2.22840e-01,5.83460e-01
YDR201W,SPC19,0.133,-0.120,0.112,9.05470e-03,1.21080e-01,3.64600e-01
YIL006W,YIL006W,-0.077,0.173,-0.133,7.65820e-02,2.93840e-03,2.05430e-01
YHL027W,RIM101,-0.001,-0.078,0.235,9.99999e-01,1.12270e-01,9.91930e-03
YOL032W,YOL032W,0.100,0.306,-0.144,3.66630e-02,8.27680e-05,8.68760e-02
YNL053W,MSG5,0.021,-0.117,0.061,6.46770e-01,6.77520e-02,5.29860e-01
YNL126W,SPC98,0.207,0.068,-0.402,2.33190e-03,4.41900e-01,4.22610e-03
YGR290W,YGR290W,-0.044,0.380,-0.091,5.17270e-01,4.11900e-06,4.52390e-01
YDR202C,YDR202C,0.118,0.246,0.232,1.56420e-02,8.43040e-04,1.88430e-02
YIL007C,YIL007C,0.057,0.175,-0.121,2.29920e-01,1.27990e-03,1.51340e-01
YHR059W,YHR059W,0.043,-0.236,0.740,6.42100e-01,2.07900e-01,1.16680e-02
YMR251W-A,HOR7,-0.054,0.038,-0.167,1.40300e-01,3.78980e-01,2.53290e-03
YKL189W,HYM1,0.033,0.032,0.038,5.70010e-01,6.34510e-01,7.04990e-01
YPR043W,RPL43A,-0.292,-0.268,-0.167,1.81140e-06,2.57450e-05,1.83140e-03
YPR116W,YPR116W,-0.092,-0.314,0.215,1.34710e-01,6.64480e-02,2.57900e-01
YDR499W,YDR499W,0.277,0.053,0.274,1.20410e-03,7.84660e-01,7.08160e-02
YGL049C,TIF4632,0.075,-0.265,0.234,1.28210e-01,3.53260e-02,1.66810e-01
YMR179W,SPT21,0.003,-0.306,0.616,9.53960e-01,4.27310e-02,2.96520e-02
YML075C,HMG1,-0.026,0.000,0.000,5.70810e-01,9.99999e-01,9.99999e-01
YGR291C,YGR291C,-0.345,-0.290,0.060,3.31890e-02,1.97960e-01,9.12770e-01
YIR039C,YPS6,-0.217,0.402,-0.648,5.46180e-05,1.37130e-05,1.14010e-14
YOR138C,YOR138C,0.097,-0.329,0.448,2.43810e-02,5.25640e-05,1.06230e-04
YBR171W,SEC66,0.104,-0.453,0.458,1.45200e-01,3.09920e-05,1.81580e-04
YBR244W,YBR244W,-0.050,-0.123,0.111,4.71980e-01,1.74400e-01,4.51850e-01
YHL028W,WSC4,-0.989,0.010,-0.462,5.04640e-07,8.40180e-01,1.16750e-06
YPL012W,YPL012W,0.142,0.341,0.030,1.23120e-02,1.56750e-01,9.28730e-01
YOL033W,MSE1,-0.024,-0.025,-0.260,6.41080e-01,6.92240e-01,7.15980e-02
YOL106W,YOL106W,-0.261,0.143,-0.295,3.32460e-07,1.74950e-02,3.35500e-06
YNL054W,VAC7,0.103,-0.018,0.279,2.68570e-02,7.65030e-01,1.08970e-02
YNL127W,YNL127W,0.212,-0.037,0.126,6.46410e-04,6.64590e-01,3.20400e-01
YJR018W,YJR018W,-0.127,-0.040,-0.131,3.37240e-02,5.19610e-01,2.09820e-01
YDR130C,YDR130C,0.099,-0.026,0.149,4.05510e-02,5.96700e-01,2.38630e-01
YBR172C,SMY2,0.169,-0.260,0.574,5.29640e-03,1.23630e-02,5.86440e-02
YBR245C,ISW1,0.233,0.378,-0.001,3.67290e-05,2.71320e-04,9.99999e-01
YHL029C,YHL029C,0.126,-0.427,0.113,9.30850e-03,1.77570e-04,3.83330e-01
YPR117W,YPR117W,0.119,0.000,0.000,2.87210e-01,9.99999e-01,9.99999e-01
YPL013C,YPL013C,0.196,-0.153,0.260,3.26830e-04,2.96750e-02,3.58830e-02
YOR065W,CYT1,0.193,0.074,-0.335,1.92250e-04,1.37530e-01,8.00860e-08
YNL055C,POR1,0.004,0.110,-0.309,9.15220e-01,9.28760e-03,1.53470e-06
YJR019C,TES1,0.508,0.411,0.060,1.75410e-08,6.99540e-08,5.43370e-01
YML076C,YML076C,0.034,-0.037,-0.323,5.38680e-01,6.56340e-01,6.50790e-03
YPR045C,YPR045C,0.178,0.047,0.078,2.01260e-03,4.62710e-01,3.77350e-01
YOR139C,YOR139C,-0.002,-0.088,0.704,9.99999e-01,8.21910e-01,6.80550e-02
YGL260W,YGL260W,-0.193,0.120,-0.241,1.01460e-04,3.44410e-02,5.35930e-02
YIL008W,YIL008W,-0.167,-0.340,-0.185,3.46840e-02,8.38500e-03,5.28470e-01
YOL034W,YOL034W,0.526,-0.000,0.721,3.81120e-02,3.97460e-01,1.03570e-03
YOL107W,YOL107W,-0.162,-0.168,-0.557,5.21500e-03,2.45310e-02,2.19460e-04
YER110C,KAP123,0.050,-0.233,0.430,2.60520e-01,2.96450e-04,3.63440e-07
YNL128W,TEP1,-0.092,-0.176,0.036,3.02760e-01,3.00640e-01,8.70280e-01
YGR292W,MAL12,0.077,0.235,-0.706,5.80150e-01,1.21510e-02,1.34380e-04
YDR131C,YDR131C,-0.025,0.168,-0.309,6.60160e-01,2.54550e-02,6.85460e-03
YGL261C,YGL261C,-0.041,0.051,-0.166,3.14580e-01,3.31760e-01,1.10620e-01
YBR173C,UMP1,-0.014,0.125,-0.014,7.03680e-01,5.45430e-02,8.41480e-01
YPR118W,YPR118W,-0.164,-0.333,-0.082,1.23530e-04,1.38140e-04,2.81330e-01
YOR066W,YOR066W,-0.271,-0.038,-0.248,3.31450e-06,4.54800e-01,4.00690e-03
YOL035C,YOL035C,-0.048,-0.342,0.764,7.68460e-01,3.02910e-01,1.54400e-03
YOL108C,INO4,-0.027,0.069,0.227,5.99330e-01,2.18120e-01,3.31890e-02
YGR293C,YGR293C,-0.189,-0.365,0.144,1.20240e-02,7.11340e-02,4.25650e-01
YOR350C,MNE1,0.086,0.161,0.081,7.80040e-02,1.14510e-02,4.14680e-01
YOR067C,ALG8,-0.296,-0.056,-0.395,1.56880e-07,2.48330e-01,6.03130e-08
YDR204W,COQ4,0.073,0.171,-0.050,7.60820e-02,1.75850e-03,4.06850e-01
YDL100C,YDL100C,-0.097,-0.197,-0.352,1.07790e-02,2.17060e-03,2.08140e-07
YIL009W,FAA3,0.114,-0.513,0.253,9.89330e-02,2.06070e-03,4.05490e-01
YBR246W,YBR246W,-0.115,-0.118,0.001,1.76830e-02,3.30340e-02,9.99999e-01
YPL014W,YPL014W,-0.720,-0.369,-0.446,5.82460e-10,3.57410e-06,1.29870e-08
YNL056W,YNL056W,-0.147,-0.063,0.027,3.74670e-03,2.71600e-01,7.95260e-01
YER111C,SWI4,0.195,-0.105,0.160,5.61340e-04,3.32110e-01,1.55580e-01
YNL129W,YNL129W,-0.010,-0.798,-0.126,9.05810e-01,4.29430e-05,8.10760e-01
YML077W,BET5,-0.086,-0.468,0.425,3.90950e-01,3.25750e-02,2.19440e-01
YDR132C,YDR132C,0.043,0.089,-0.080,3.42960e-01,3.43320e-01,4.05260e-01
YJR010C-A,SPC1,-0.139,0.032,-0.120,5.09070e-02,6.57970e-01,4.63260e-01
YPR046W,MCM16,-0.068,-0.441,0.515,3.72490e-01,5.63390e-02,1.44380e-01
YBR174C,YBR174C,-0.100,-0.763,-0.000,3.55800e-01,2.91270e-03,9.10390e-01
YBR247C,ENP1,0.298,-1.047,1.231,4.18250e-06,4.88630e-06,1.30720e-04
YPR119W,CLB2,-0.234,-0.279,-0.342,3.92460e-06,6.26350e-04,1.64240e-05
YPL015C,HST2,-0.290,0.253,-0.318,1.21250e-06,1.13360e-05,1.30630e-05
YER093C-A,YER093C-A,0.085,0.059,-0.044,1.27010e-01,5.57150e-01,7.37130e-01
YOR351C,MEK1,0.480,0.166,0.976,1.44760e-01,5.45190e-01,7.02200e-03
YOR068C,YOR068C,0.083,-0.083,0.312,2.74660e-01,5.50740e-01,1.32700e-01
YDR205W,YDR205W,0.051,0.197,0.273,4.17980e-01,9.90570e-02,2.52010e-02
YGL262W,YGL262W,-0.261,-0.235,0.000,4.27480e-02,3.65180e-01,9.99999e-01
YDL101C,DUN1,0.262,-0.046,-0.093,6.27690e-04,6.87320e-01,5.44100e-01
YBL070C,YBL070C,-0.108,-0.469,-0.027,5.24350e-01,1.25940e-02,9.20340e-01
YJL200C,YJL200C,0.195,-0.263,-0.051,1.97300e-04,2.73050e-03,6.12880e-01
YOL036W,YOL036W,0.015,-0.000,-0.388,7.13640e-01,6.64590e-01,3.20400e-01
YOL109W,ZEO1,0.260,-0.333,0.210,3.65330e-06,2.28140e-05,4.29350e-03
YNL057W,YNL057W,-0.523,-0.184,-0.012,1.43160e-08,4.57890e-02,9.10390e-01
YML078W,CPR3,-0.148,0.205,-0.421,6.42720e-04,6.21060e-05,4.92370e-09
