Gene Symbol	Gene ID	logFC	FDR corrected Pvalue
TSPAN18	90139	1.794585295	4.76E-21
LMOD1	25802	1.747658062	7.72E-21
IGFBP4	3487	1.345689687	8.10E-21
DACT3	147906	1.821915193	8.10E-21
ACTA2	59	1.759265387	1.52E-20
DLC1	10395	1.456050957	1.59E-20
PMEPA1	56937	1.743233612	1.59E-20
SCARF2	91179	1.479117727	2.24E-20
TGFB1I1	7041	1.279546024	2.30E-20
PODN	127435	1.987190683	2.45E-20
SNAI2	6591	1.672015073	2.58E-20
FN1	2335	1.984880717	2.89E-20
ZEB1	6935	1.341380607	3.06E-20
LHFP	10186	1.3542645	5.87E-20
PRKG1	5592	1.913816012	7.14E-20
TIMP2	7077	1.108468717	7.99E-20
VGLL3	389136	1.977325723	8.85E-20
THBS2	7058	2.049326176	9.42E-20
SEPT11	55752	0.848193017	1.07E-19
NID1	4811	1.369134811	1.26E-19
KCNE4	23704	1.848194405	1.78E-19
COLEC12	81035	1.595073798	1.79E-19
C1QTNF1	114897	1.548247369	1.79E-19
PDLIM3	27295	1.690043835	2.44E-19
MRGPRF	116535	1.398911578	2.85E-19
MEIS3	56917	1.80700917	2.95E-19
ISM1	140862	1.96186003	3.20E-19
ZCCHC24	219654	1.368985934	3.35E-19
ELFN1	392617	1.397227269	3.75E-19
FAM198B	51313	1.251662294	5.44E-19
TGFB3	7043	1.682966546	5.44E-19
ADAMTS12	81792	2.096570299	5.46E-19
TSPAN11	441631	2.351259223	7.62E-19
CNRIP1	25927	1.273290713	1.07E-18
CHSY1	22856	0.848537365	1.34E-18
FKBP14	55033	1.072644212	1.39E-18
FNDC1	84624	1.954231759	1.44E-18
LRRC17	10234	2.137906046	1.66E-18
MN1	4330	2.006180801	1.83E-18
FILIP1L	11259	1.352293617	2.36E-18
JAM3	83700	1.329998437	3.18E-18
LEPRE1	64175	0.965899747	3.18E-18
SULF2	55959	1.591267302	3.18E-18
ELFN2	114794	2.982054963	3.37E-18
MRVI1	10335	1.386924258	3.73E-18
GALNT5	11227	2.028912762	4.06E-18
FRMD6	122786	1.293516822	4.15E-18
FKBP7	51661	1.107885557	4.55E-18
PTGIS	5740	2.041317648	4.65E-18
GPR124	25960	1.434780081	4.84E-18
JPH2	57158	1.961018404	5.86E-18
AOC3	8639	1.916360585	5.93E-18
WISP1	8840	1.567478026	5.94E-18
BICC1	80114	1.933443499	6.06E-18
ADAMTS2	9509	1.911777697	6.31E-18
LOX	4015	1.742472064	7.20E-18
ITGA5	3678	1.128004729	7.22E-18
NBL1	4681	1.404611162	8.78E-18
MRC2	9902	1.208537333	8.85E-18
OGN	4969	2.907738682	1.02E-17
LDB2	9079	1.122168868	1.06E-17
AGTR1	185	2.283330889	1.10E-17
ITGA11	22801	1.96975605	1.18E-17
LATS2	26524	0.912679277	1.24E-17
MAGEL2	54551	2.40338384	1.32E-17
CCDC80	151887	1.745444232	1.35E-17
SERPINE1	5054	2.077319208	1.46E-17
CYR61	3491	1.662050041	1.51E-17
CTGF	1490	1.748975317	1.65E-17
P4HA3	283208	1.699483632	1.65E-17
HMCN1	83872	1.620274639	1.73E-17
SRPX2	27286	1.374684292	1.87E-17
BEAN	146227	1.675669642	2.04E-17
GLI3	2737	1.62029043	2.38E-17
ADAM12	8038	2.031627343	2.49E-17
CYGB	114757	1.306152123	2.63E-17
ARSI	340075	1.931968009	2.73E-17
PDPN	10630	1.642031894	3.10E-17
CD248	57124	1.596147563	4.03E-17
ADAMTS10	81794	1.648410204	4.11E-17
PSMB9	5698	-1.548464839	4.71E-17
MATN3	4148	1.841448235	4.86E-17
GLIS2	84662	1.113227334	5.85E-17
IGDCC4	57722	1.663553889	6.93E-17
FAT3	120114	2.873323635	1.05E-16
LEPREL2	10536	1.450612199	1.05E-16
GBP4	115361	-1.58724209	1.11E-16
PSME2	5721	-1.054755391	1.15E-16
PMP22	5376	1.174809714	1.17E-16
SPON2	10417	1.337615391	1.21E-16
TAP1	6890	-1.370056283	1.36E-16
HTRA1	5654	1.252046908	1.73E-16
PRICKLE1	144165	1.678964659	2.10E-16
ADAMTS9	56999	1.652905205	2.17E-16
MAP4K4	9448	0.818065512	2.26E-16
SNED1	25992	1.400064241	2.54E-16
CILP	8483	2.167968288	2.79E-16
MEX3B	84206	1.41712129	3.30E-16
OVGP1	5016	-4.479274575	3.52E-16
SMOC2	64094	1.508559775	3.59E-16
ASAM	79827	1.777730443	3.69E-16
CDC42EP3	10602	0.878247544	3.86E-16
CHPF	79586	0.988421258	3.97E-16
SHISA2	387914	2.275216638	4.08E-16
SEMA7A	8482	1.105582181	4.19E-16
IGFBP5	3488	1.638845629	5.59E-16
SRPX	8406	1.553732071	5.61E-16
NAV3	89795	1.685290595	5.87E-16
PCOLCE	5118	1.636554776	5.87E-16
MDFI	4188	2.099511579	6.07E-16
DCN	1634	1.62038937	6.34E-16
SC65	10609	0.789031971	7.58E-16
OLFML2B	25903	1.571998018	7.93E-16
GALNT10	55568	0.950641446	8.89E-16
FAM101A	144347	2.004264802	9.13E-16
SFRP4	6424	2.115082345	1.10E-15
NAV1	89796	1.221183498	1.27E-15
CSAG3	389903	-3.702066983	1.59E-15
RGS4	5999	1.672327565	1.63E-15
TCF4	6925	0.918570937	2.79E-15
MYH10	4628	1.00537992	3.11E-15
GFPT2	9945	1.587602096	3.13E-15
PCDHGC3	5098	1.037748195	3.18E-15
PTPRN	5798	2.396598547	3.43E-15
ABCA6	23460	2.051220872	3.60E-15
DENND2A	27147	1.564371643	4.49E-15
PSME1	5720	-0.906954568	4.56E-15
SH3RF3	344558	1.426267732	4.69E-15
ADAMTS16	170690	2.880829787	5.30E-15
SLC12A8	84561	1.032148682	5.36E-15
PDGFRA	5156	1.671686889	5.86E-15
NKD2	85409	1.884150284	5.96E-15
INHBA	3624	2.013010066	7.90E-15
HEPH	9843	1.391273153	8.77E-15
SVEP1	79987	2.031755949	1.09E-14
C5orf62	85027	1.044507635	1.10E-14
SPOCK1	6695	2.108449787	1.12E-14
ETV1	2115	1.493726139	1.20E-14
PSMB8	5696	-1.110889273	1.30E-14
F13A1	2162	1.498266878	1.30E-14
EDNRA	1909	1.494772902	1.31E-14
CDR1	1038	2.127996869	1.33E-14
SLIT2	9353	1.609237192	1.35E-14
PKD2	5311	0.766351638	1.41E-14
DOK6	220164	1.637890596	1.50E-14
C13orf33	84935	1.927594023	1.52E-14
HEG1	57493	1.202424894	1.58E-14
OLFML1	283298	1.35386492	1.99E-14
AFAP1	60312	0.963081137	2.07E-14
RASGRF2	5924	1.49542903	2.37E-14
ABCA8	10351	2.49773015	2.45E-14
SDC2	6383	1.400666257	2.97E-14
FEZ1	9638	1.030321669	3.02E-14
BMP4	652	1.740137236	3.12E-14
UBE2L6	9246	-1.038222579	3.17E-14
KIAA0319	9856	-2.424619406	3.21E-14
SLIT3	6586	1.723382962	3.35E-14
MXRA8	54587	1.654929744	3.48E-14
SH3PXD2A	9644	1.046226165	4.03E-14
BARX1	56033	2.911900127	4.42E-14
FSTL3	10272	1.186488179	4.68E-14
ADAMTS14	140766	1.581703221	4.70E-14
COL4A2	1284	0.965539793	5.28E-14
BMP1	649	0.929968078	5.42E-14
LRRC15	131578	2.705837202	5.42E-14
ECM1	1893	1.36273893	5.49E-14
CNN1	1264	1.798232195	5.64E-14
CACNA1G	8913	2.313971062	5.86E-14
COL14A1	7373	1.744253993	5.86E-14
RHOBTB3	22836	1.311858376	6.20E-14
CTHRC1	115908	1.489548726	7.74E-14
RCAN2	10231	1.154172483	8.50E-14
PTPRD	5789	2.21325617	8.90E-14
BMP2	650	1.779285977	9.41E-14
RPLP0P2	113157	1.559069593	9.53E-14
XYLT1	64131	1.674646759	9.59E-14
TAP2	6891	-1.069743921	9.60E-14
HSPG2	3339	1.044758721	1.06E-13
MARVELD1	83742	0.972196541	1.13E-13
COL4A1	1282	0.968519621	1.19E-13
CLDN11	5010	1.574022515	1.37E-13
TCF7L1	83439	1.452104492	1.40E-13
RAB31	11031	0.83663278	1.43E-13
PLXDC1	57125	1.180152303	1.45E-13
GPC1	2817	1.031400542	1.49E-13
FAM38B	63895	2.119700997	1.51E-13
HSPB7	27129	1.741587292	1.57E-13
CXCL10	3627	-1.820197413	1.63E-13
PLIN1	5346	2.767331701	1.63E-13
GEM	2669	1.435183591	1.65E-13
HAND2	9464	1.909092608	1.77E-13
OMD	4958	2.461623982	1.86E-13
WISP2	8839	2.314041339	1.97E-13
IRF1	3659	-1.059866922	2.12E-13
CXCR2P1	3580	-2.071875149	2.22E-13
EDIL3	10085	1.74843708	2.57E-13
ELN	2006	1.749007681	2.63E-13
ENOX1	55068	1.636168842	2.78E-13
ASPN	54829	2.247978284	2.83E-13
TMEM158	25907	1.632489163	2.97E-13
PLIN4	729359	1.74187994	3.12E-13
FGF7	2252	1.71251311	3.24E-13
ALPK2	115701	2.073380511	3.30E-13
IFFO2	126917	1.194753991	3.40E-13
F2R	2149	1.063712691	4.05E-13
ZFHX4	79776	1.932715465	4.21E-13
CXCL12	6387	1.617036995	4.48E-13
HLA-F	3134	-1.26278145	4.76E-13
TMEM200A	114801	1.247056744	4.83E-13
GREM2	64388	1.93417537	4.92E-13
CYP2J2	1573	-1.478388484	5.46E-13
HTRA3	94031	1.531300114	5.52E-13
CYTH3	9265	0.745731402	5.56E-13
FLRT2	23768	1.639017611	5.85E-13
PCDHGA5	56110	1.691552246	6.12E-13
GPR176	11245	1.328216764	6.43E-13
NID2	22795	1.411123629	6.93E-13
RECK	8434	0.892454035	7.38E-13
CLEC3B	7123	1.621527864	7.63E-13
ENPP1	5167	1.459206737	7.81E-13
PI15	51050	2.412975045	7.81E-13
FLJ22536	401237	1.482668501	8.01E-13
CYP26B1	56603	1.993908559	8.13E-13
PRICKLE2	166336	0.983153069	8.65E-13
MMP19	4327	0.743211345	8.83E-13
LAG3	3902	-1.399074314	9.38E-13
PROK1	84432	3.404634162	9.72E-13
FAM101B	359845	1.173016649	9.80E-13
PSD3	23362	1.066102164	1.13E-12
GALNTL2	117248	1.795839621	1.20E-12
GALNT9	50614	3.175898558	1.25E-12
NMI	9111	-0.801057261	1.32E-12
C14orf37	145407	1.177169993	1.38E-12
BCL2L14	79370	-1.556960939	1.41E-12
SFRP2	6423	2.854324608	1.43E-12
ADAMTS5	11096	1.714873826	1.68E-12
FAM155A	728215	1.565180611	1.68E-12
ACTG2	72	1.895822954	1.69E-12
RUNX2	860	1.325189916	1.70E-12
UPK2	7379	2.557663822	1.70E-12
APLNR	187	1.241150538	1.73E-12
RCN3	57333	1.160329267	1.73E-12
COL5A3	50509	1.781923816	1.80E-12
CD38	952	-1.643405752	1.87E-12
FAM180A	389558	1.687948504	1.89E-12
THBD	7056	1.171761572	1.91E-12
CXorf36	79742	0.887673654	1.91E-12
TGM2	7052	1.579828807	1.92E-12
NKX3-2	579	2.34837061	1.98E-12
PRRX1	5396	1.930737361	2.05E-12
EGR2	1959	1.506458033	2.05E-12
KLF2	10365	1.300644736	2.17E-12
SEPT8	23176	0.754012144	2.18E-12
CSPG4	1464	1.145873616	2.22E-12
KIF26A	26153	1.978832567	3.01E-12
PDGFD	80310	1.28874694	3.05E-12
MAP1A	4130	1.111652438	3.05E-12
EVC	2121	0.817503931	3.09E-12
CYP26A1	1592	2.325298814	3.18E-12
RFX5	5993	-0.655409376	3.26E-12
RARRES3	5920	-1.419177738	3.38E-12
EHD2	30846	1.031087617	3.47E-12
CHRD	8646	1.650609859	3.47E-12
LRRN4CL	221091	1.369679225	3.51E-12
TGFBR2	7048	0.74651618	3.51E-12
FGF1	2246	1.579150569	3.58E-12
GAS7	8522	1.02902732	3.90E-12
LRRN4	164312	1.899319659	3.96E-12
FSCN1	6624	1.062735988	3.99E-12
PEAR1	375033	1.384886034	4.18E-12
COL11A1	1301	2.468927334	4.85E-12
B3GNT9	84752	0.886303717	4.90E-12
ETV7	51513	-1.535862274	5.14E-12
ANKRD1	27063	2.733199781	5.57E-12
PCDHGA12	26025	1.619157369	5.61E-12
FBLN2	2199	1.780645841	6.59E-12
LUM	4060	1.71874265	7.03E-12
CCL14	6358	2.260596638	7.40E-12
ZNF697	90874	0.992603978	7.40E-12
ATPAF1	64756	-0.644557791	7.40E-12
COL4A5	1287	1.247494576	7.41E-12
PLSCR1	5359	-1.007914793	7.61E-12
ROBO4	54538	0.919726073	7.86E-12
EDA2R	60401	1.295317439	7.88E-12
IFI35	3430	-1.028113894	8.43E-12
HCP5	10866	-1.243544024	8.43E-12
WNK4	65266	2.300791424	8.62E-12
HLA-A	3105	-1.010238993	8.77E-12
CXCL14	9547	2.30309813	9.70E-12
SERPINH1	871	0.809562863	9.87E-12
ENTPD7	57089	0.844139336	1.03E-11
LRRC4B	94030	1.739724876	1.06E-11
BATF2	116071	-1.338233407	1.06E-11
GPR1	2825	1.604015486	1.06E-11
SEMA6B	10501	0.935922073	1.11E-11
NUDT10	170685	1.636215993	1.13E-11
SH3BP4	23677	0.902812021	1.22E-11
CD36	948	1.612236697	1.23E-11
CSMD2	114784	2.027977661	1.23E-11
APBB2	323	0.799361106	1.23E-11
MSC	9242	1.526860345	1.25E-11
SEMA3C	10512	1.05427702	1.38E-11
SERPINF1	5176	1.486184401	1.48E-11
COL10A1	1300	1.996314552	1.51E-11
MXRA5	25878	1.296861846	1.57E-11
FBXL7	23194	1.193992693	1.76E-11
HLA-DOB	3112	-1.526454034	1.82E-11
SPARCL1	8404	0.988827807	1.91E-11
TMEM133	83935	0.985719033	2.19E-11
CSDC2	27254	1.62888679	2.30E-11
NRK	203447	1.717977389	2.39E-11
MMP28	79148	1.658323162	2.41E-11
PALM2-AKAP2	445815	0.826939494	2.48E-11
TTC3	7267	0.607100569	2.48E-11
HINT2	84681	-0.910086383	2.59E-11
SELENBP1	8991	-1.142596966	2.81E-11
GSTM5	2949	2.107646699	2.82E-11
TMEM45A	55076	1.106968301	2.95E-11
ACCN2	41	1.56340845	3.19E-11
NR4A3	8013	2.024722132	3.26E-11
ST6GAL2	84620	1.944837801	3.43E-11
COPZ2	51226	1.271584711	3.54E-11
ALDH1A3	220	1.47432183	3.54E-11
PODNL1	79883	1.501172347	3.57E-11
SCG2	7857	1.808206112	3.85E-11
PSMB10	5699	-0.947126125	3.85E-11
DIO1	1733	-2.783917958	4.35E-11
GPX8	493869	0.780644274	4.89E-11
PRDM16	63976	2.347563779	5.18E-11
AMOTL1	154810	1.098181549	5.18E-11
SDC1	6382	1.324194525	5.34E-11
HLA-DMA	3108	-1.220435813	5.67E-11
FBLN1	2192	1.307596874	5.83E-11
HERC5	51191	-1.303525271	5.93E-11
C4orf31	79625	1.864908231	6.24E-11
ANGPT1	284	1.49607029	6.44E-11
VAT1L	57687	1.761416403	6.56E-11
FGF14	2259	1.637780557	6.67E-11
RHOBTB1	9886	0.890969754	6.83E-11
GFAP	2670	2.95596974	6.95E-11
RASL12	51285	1.04498967	7.36E-11
IRF9	10379	-0.82292224	7.75E-11
AKAP13	11214	0.680281599	7.75E-11
CERCAM	51148	0.906235434	7.75E-11
MFAP4	4239	1.865431149	7.93E-11
CMTM3	123920	0.669256316	8.49E-11
RBM9	23543	0.624678955	8.86E-11
RGS16	6004	1.232819338	8.86E-11
RUNX1	861	1.003378668	9.38E-11
SEMA3D	223117	1.910589393	9.41E-11
CORIN	10699	1.936007387	1.02E-10
ANGPTL1	9068	1.952566995	1.19E-10
CXCL11	6373	-1.746964491	1.23E-10
BAHCC1	57597	1.478611686	1.31E-10
DLG2	1740	1.568316063	1.39E-10
FAP	2191	1.843242081	1.39E-10
CDK5R1	8851	0.926673941	1.45E-10
SLC35D3	340146	2.377584322	1.51E-10
SEMA6A	57556	1.487815394	1.54E-10
NGFR	4804	2.258461843	1.61E-10
PHLDB1	23187	0.742224726	1.62E-10
CNTN1	1272	1.793724448	1.63E-10
NR2F1	7025	1.320552961	1.64E-10
DCLK1	9201	1.57259362	1.69E-10
PXDN	7837	1.148325929	1.70E-10
SHROOM4	57477	1.078346098	1.91E-10
MPRIP	23164	0.5684418	1.93E-10
ITGBL1	9358	2.007016438	1.94E-10
PHLDB2	90102	1.349375776	2.04E-10
TSHZ3	57616	1.128553625	2.10E-10
SYTL2	54843	1.045990094	2.15E-10
VIM	7431	0.950406135	2.15E-10
ARC	23237	2.179786	2.17E-10
EGR3	1960	1.672868857	2.22E-10
PIGR	5284	-3.302778633	2.26E-10
PDE7B	27115	1.13489063	2.30E-10
CYP2W1	54905	2.83929378	2.35E-10
C9orf23	138716	-0.780407202	2.35E-10
IFIH1	64135	-1.127952925	2.36E-10
AQP1	358	0.961137953	2.47E-10
UBD	10537	-2.08998347	2.50E-10
HLA-B	3106	-1.085330688	2.50E-10
HLA-E	3133	-0.718157173	2.62E-10
HLA-C	3107	-1.025568674	2.72E-10
LSAMP	4045	1.880486735	2.82E-10
DTX1	1840	1.09579136	2.87E-10
FHOD3	80206	1.228772178	2.89E-10
CHAD	1101	1.611825887	2.91E-10
KIAA1755	85449	1.658321487	2.92E-10
PAPSS2	9060	0.95682743	2.94E-10
RUSC2	9853	0.729865603	3.08E-10
MMP23B	8510	1.252149623	3.21E-10
CD93	22918	0.733991543	3.21E-10
COCH	1690	-2.315151887	3.50E-10
PCDH12	51294	0.758856817	3.54E-10
PLAU	5328	1.215813224	3.58E-10
PDLIM7	9260	0.76300362	3.93E-10
FAM131B	9715	1.247042519	4.14E-10
STOML2	30968	-0.655209946	4.14E-10
GXYLT2	727936	1.071571133	4.88E-10
CDH5	1003	0.752204653	5.23E-10
MEG3	55384	1.780426129	5.45E-10
CTSK	1513	1.530455287	5.59E-10
LTA	4049	-1.259405347	5.91E-10
IGF2BP1	10642	2.646924493	6.00E-10
TNFSF10	8743	-1.391565474	6.35E-10
MYH11	4629	1.898736048	6.35E-10
CALN1	83698	-2.690204138	6.36E-10
AG2	387763	1.412039769	6.61E-10
IDO1	3620	-1.770690958	6.92E-10
TCEAL7	56849	1.290803254	7.26E-10
NIT2	56954	-0.637153776	7.26E-10
LRP4	4038	1.679756722	7.60E-10
PNMA2	10687	1.699573329	7.76E-10
GHR	2690	1.413515984	7.77E-10
B3GALT2	8707	1.565663674	8.01E-10
MFAP5	8076	1.88790597	8.68E-10
SYNE1	23345	0.925368973	8.70E-10
MEGF10	84466	2.182280905	8.89E-10
SIPA1L2	57568	0.916044828	9.07E-10
PLN	5350	1.973946937	9.42E-10
GPR116	221395	0.7104335	9.66E-10
CLDN5	7122	1.293488677	9.84E-10
COL9A3	1299	2.132353411	1.01E-09
PPP1R12B	4660	0.862500992	1.09E-09
KCTD10	83892	0.446099815	1.10E-09
ZEB2	9839	0.763850717	1.11E-09
SFXN3	81855	0.648687015	1.11E-09
ADCY2	108	2.92850518	1.14E-09
NEGR1	257194	1.87732158	1.16E-09
PSMA6	5687	-0.657473231	1.17E-09
PDE2A	5138	1.194643621	1.18E-09
ADRA2A	150	1.685830224	1.21E-09
BAMBI	25805	1.626399156	1.22E-09
ABL1	25	0.615473438	1.25E-09
EMCN	51705	1.004923614	1.26E-09
ARHGAP42	143872	1.042890193	1.28E-09
LRCH1	23143	0.628174522	1.37E-09
LPPR4	9890	1.354847314	1.46E-09
NPTX1	4884	1.519772043	1.51E-09
TRIM21	6737	-0.687178249	1.56E-09
DKK3	27122	0.938683726	1.56E-09
MRPL14	64928	-0.699053121	1.61E-09
SYT8	90019	2.516106062	1.61E-09
COMP	1311	2.309963948	1.61E-09
B2M	567	-0.82043547	1.64E-09
TBX1	6899	1.927112207	1.66E-09
COL12A1	1303	1.268487336	1.66E-09
MYB	4602	-1.240499012	1.68E-09
SCN7A	6332	2.245748641	1.75E-09
HSPA12B	116835	1.050273459	1.75E-09
NCK1	4690	-0.602112789	1.85E-09
COL4A6	1288	1.609737952	1.89E-09
TEK	7010	1.026870683	1.92E-09
C1orf198	84886	0.592221432	1.92E-09
PRDM8	56978	0.992703053	2.08E-09
PSMA5	5686	-0.612911129	2.09E-09
C20orf103	24141	1.475409131	2.14E-09
C1QTNF2	114898	1.184554093	2.29E-09
MYADM	91663	0.862832508	2.32E-09
MFRP	83552	0.90284371	2.33E-09
SORCS2	57537	1.851551095	2.42E-09
ERRFI1	54206	1.017851271	2.63E-09
IFI30	10437	-0.890916305	2.71E-09
PPAP2A	8611	0.643485131	2.88E-09
HHIP	64399	1.981391958	3.07E-09
LTBP2	4053	0.936430686	3.11E-09
ADAMTS4	9507	1.239703741	3.29E-09
ARHGEF15	22899	0.852708943	3.35E-09
CPA3	1359	2.250400215	3.49E-09
C9orf123	90871	-0.804035813	3.57E-09
PCSK5	5125	1.226557706	3.69E-09
KIAA0427	9811	0.714085706	3.76E-09
PDZRN3	23024	1.045905484	3.83E-09
FBXL22	283807	0.873018283	3.87E-09
PCDHGA6	56109	1.403083192	3.88E-09
NEXN	91624	1.014864575	3.89E-09
TAGLN	6876	1.264738844	3.89E-09
ZNF521	25925	1.476064166	3.91E-09
LUZP1	7798	0.61139494	4.00E-09
ADAMTSL1	92949	1.551765961	4.06E-09
NOG	9241	1.731935295	4.06E-09
COL15A1	1306	0.978086566	4.10E-09
PLAC9	219348	1.813471692	4.36E-09
GPR68	8111	1.033582532	4.70E-09
CR1	1378	1.480320918	4.73E-09
ISLR	3671	1.192198481	4.73E-09
NCCRP1	342897	2.269372858	4.81E-09
PGF	5228	1.093123334	5.02E-09
PPFIBP1	8496	0.822037634	5.02E-09
DAPL1	92196	-1.947997357	5.06E-09
ODZ3	55714	2.074282587	5.11E-09
AIM2	9447	-1.348421225	5.17E-09
FOXP1	27086	0.536738463	5.23E-09
SLC7A10	56301	2.427805827	5.52E-09
PRDM6	93166	1.347809415	5.52E-09
KIRREL	55243	0.865062823	5.68E-09
SOSTDC1	25928	2.300179941	5.76E-09
DIP2C	22982	0.839179455	5.94E-09
AK5	26289	1.590099778	6.72E-09
ILDR2	387597	1.691271989	6.81E-09
GGT5	2687	0.923197332	6.90E-09
KRAS	3845	1.169215459	7.09E-09
COL8A2	1296	1.198312714	7.18E-09
KCNJ15	3772	1.368799411	7.33E-09
PLOD1	5351	0.637905281	7.51E-09
PMAIP1	5366	-0.99246972	7.93E-09
CNN2	1265	0.919207094	7.93E-09
ATG3	64422	-0.452276339	8.17E-09
HEYL	26508	0.9362706	8.19E-09
SELP	6403	1.473211561	8.20E-09
CPZ	8532	1.218376842	8.50E-09
GPIHBP1	338328	1.461454393	8.68E-09
CHGA	1113	-3.04549192	8.81E-09
PTGFR	5737	2.078900503	9.10E-09
C6orf108	10591	-0.763985864	9.10E-09
TMEM177	80775	-0.608418206	9.30E-09
ATP1B2	482	1.83504521	9.31E-09
FAM63B	54629	0.687664822	9.45E-09
MYCT1	80177	0.765995811	9.46E-09
EFEMP2	30008	0.793077959	9.60E-09
ARMC9	80210	0.570172661	1.01E-08
PRG4	10216	2.41990488	1.01E-08
PARP12	64761	-0.777250941	1.02E-08
GNA14	9630	1.151825158	1.06E-08
ITGA1	3672	0.69852962	1.12E-08
NUDT16P1	152195	-0.794983901	1.12E-08
EXOSC3	51010	-0.508263763	1.12E-08
TMEM204	79652	0.760435637	1.13E-08
ARSE	415	2.134067421	1.14E-08
COL2A1	1280	2.930295889	1.17E-08
PLA2G5	5322	1.534005086	1.20E-08
MMRN1	22915	1.755294201	1.21E-08
CNTNAP1	8506	0.899142812	1.21E-08
STAT1	6772	-0.823719581	1.21E-08
EFNA2	1943	2.778149476	1.22E-08
NALCN	259232	1.59891508	1.22E-08
CCND1	595	1.276654445	1.23E-08
ILDR1	286676	-0.692055547	1.24E-08
RTP4	64108	-1.098796373	1.27E-08
FBLIM1	54751	0.832744377	1.28E-08
KANK4	163782	1.734068793	1.29E-08
OSBPL5	114879	0.640034737	1.32E-08
PCK2	5106	-0.696911325	1.38E-08
HLA-DRA	3122	-1.075370626	1.39E-08
TXNL4B	54957	-0.71076054	1.39E-08
NKD1	85407	1.204338712	1.41E-08
CIITA	4261	-1.15702272	1.43E-08
ISG15	9636	-1.347231742	1.55E-08
HGF	3082	1.327290729	1.56E-08
TIFA	92610	-0.593643114	1.56E-08
PDLIM2	64236	0.726595009	1.60E-08
PSMB4	5692	-0.555484216	1.61E-08
CALU	813	0.500813834	1.61E-08
SMUG1	23583	-0.570728678	1.71E-08
CD274	29126	-1.089586299	1.72E-08
OLFML3	56944	0.929645927	1.73E-08
ADAMTSL2	9719	1.15895916	1.74E-08
SLC2A3	6515	1.108716307	1.74E-08
TREX1	11277	-0.705855262	1.78E-08
HLA-DPA1	3113	-1.130677655	1.85E-08
EXOC3L2	90332	0.780511055	1.85E-08
TNNT3	7140	2.818771235	1.85E-08
PAM	5066	0.890975664	1.89E-08
KDELR3	11015	0.879189446	1.91E-08
EMID2	136227	1.949851216	1.91E-08
CH25H	9023	1.299422787	1.91E-08
FBXO6	26270	-0.789369367	1.94E-08
MMP11	4320	1.723123837	1.95E-08
PLK2	10769	1.034307612	2.07E-08
LAP3	51056	-0.675305755	2.12E-08
TMEM2	23670	0.826581168	2.17E-08
SHC2	25759	1.342035783	2.18E-08
C5orf13	9315	0.814015638	2.18E-08
CDT1	81620	-0.804819711	2.20E-08
PARD6G	84552	0.727890654	2.25E-08
